protocol,split_seed,gate_mode,target_budget,epochs,mode,runs,oa_mean,oa_std,aa_mean,aa_std,kappa_mean,kappa_std,train_accuracy_mean,train_accuracy_std,train_seconds_mean,train_seconds_std,soft_retention_mean,soft_retention_std,hard_retention_mean,hard_retention_std
official,42,deterministic,0.65,20,aux_noise,1,0.8592276789374437,0.0,0.8812838356294171,0.0,0.8479632427668113,0.0,0.9975282485875706,0.0,8.473869999754243,0.0,0.6500052809715271,0.0,1.0,0.0
official,42,deterministic,0.65,20,aux_only,1,0.23727146019512996,0.0,0.23277554016590604,0.0,0.18732673600044933,0.0,0.9975282485875706,0.0,8.473869999754243,0.0,0.6500052809715271,0.0,1.0,0.0
official,42,deterministic,0.65,20,full,1,0.8667705173403296,0.0,0.8867879193266714,0.0,0.8560314066885687,0.0,0.9975282485875706,0.0,8.473869999754243,0.0,0.6500052809715271,0.0,1.0,0.0
official,42,deterministic,0.65,20,main_only,1,0.43313929654833155,0.0,0.4053571122459139,0.0,0.38618632527285335,0.0,0.9975282485875706,0.0,8.473869999754243,0.0,0.6500052809715271,0.0,1.0,0.0
official,42,deterministic,0.8,20,aux_noise,1,0.8757071411002706,0.0,0.8973637975221879,0.0,0.8657210937664643,0.0,0.996822033898305,0.0,9.112609999952838,0.0,0.800000786781311,0.0,1.0,0.0
official,42,deterministic,0.8,20,aux_only,1,0.22161187177174715,0.0,0.17045973694979033,0.0,0.14794255748505955,0.0,0.996822033898305,0.0,9.112609999952838,0.0,0.800000786781311,0.0,1.0,0.0
official,42,deterministic,0.8,20,full,1,0.8836599163728786,0.0,0.9034269767664511,0.0,0.8742827853446815,0.0,0.996822033898305,0.0,9.112609999952838,0.0,0.800000786781311,0.0,1.0,0.0
official,42,deterministic,0.8,20,main_only,1,0.40255800606706565,0.0,0.413662245426778,0.0,0.35499964480528656,0.0,0.996822033898305,0.0,9.112609999952838,0.0,0.800000786781311,0.0,1.0,0.0
official,42,deterministic,0.9,20,aux_noise,1,0.8800524719193245,0.0,0.8986292722068063,0.0,0.8702013964023139,0.0,0.9961158192090396,0.0,9.293250700109638,0.0,0.9000007510185242,0.0,1.0,0.0
official,42,deterministic,0.9,20,aux_only,1,0.1866852504714274,0.0,0.19438969882273902,0.0,0.13877282410489467,0.0,0.9961158192090396,0.0,9.293250700109638,0.0,0.9000007510185242,0.0,1.0,0.0
official,42,deterministic,0.9,20,full,1,0.8848897269820447,0.0,0.9022527295300943,0.0,0.8754903842854715,0.0,0.9961158192090396,0.0,9.293250700109638,0.0,0.9000007510185242,0.0,1.0,0.0
official,42,deterministic,0.9,20,main_only,1,0.45068459457243587,0.0,0.47230419683614233,0.0,0.4070476076993729,0.0,0.9961158192090396,0.0,9.293250700109638,0.0,0.9000007510185242,0.0,1.0,0.0
