variant,method,family,mode,severity,severity_label,metric,metric_label,mean,std,runs
full,Compact baseline,Noise,aux_noise_low,0.1,low,oa,Compact OA (%),86.5076111612145,0.6756044838153848,3
full,Compact baseline,Noise,aux_noise_low,0.1,low,q_aux,Aux reliability,0.30680241936401415,0.02426214137556994,3
full,Compact baseline,Noise,aux_noise_low,0.1,low,fusion_aux,Aux fusion weight,0.43563258582923886,0.004561232026409872,3
full,Compact baseline,Noise,aux_noise_mid,0.25,mid,oa,Compact OA (%),83.88674810745812,0.7379470943887934,3
full,Compact baseline,Noise,aux_noise_mid,0.25,mid,q_aux,Aux reliability,0.42994988698794634,0.041043227077405466,3
full,Compact baseline,Noise,aux_noise_mid,0.25,mid,fusion_aux,Aux fusion weight,0.4652697058863738,0.00901468255152313,3
full,Compact baseline,Noise,aux_noise_high,0.5,high,oa,Compact OA (%),72.07783334699789,1.4486575827485182,3
full,Compact baseline,Noise,aux_noise_high,0.5,high,q_aux,Aux reliability,0.5377682965225509,0.018828091045543456,3
full,Compact baseline,Noise,aux_noise_high,0.5,high,fusion_aux,Aux fusion weight,0.4916014116915013,0.005002674125339533,3
full,Compact baseline,Resolution loss,aux_downsample_2,0.5,2x,oa,Compact OA (%),85.48823481183898,1.0495985058630055,3
full,Compact baseline,Resolution loss,aux_downsample_2,0.5,2x,q_aux,Aux reliability,0.23753489173610962,0.015876919174895778,3
full,Compact baseline,Resolution loss,aux_downsample_2,0.5,2x,fusion_aux,Aux fusion weight,0.4190976395325448,0.004228339923428366,3
full,Compact baseline,Resolution loss,aux_downsample_4,0.75,4x,oa,Compact OA (%),78.37173075346396,1.9103585937468675,3
full,Compact baseline,Resolution loss,aux_downsample_4,0.75,4x,q_aux,Aux reliability,0.181313805162185,0.01941686036412707,3
full,Compact baseline,Resolution loss,aux_downsample_4,0.75,4x,fusion_aux,Aux fusion weight,0.4056304485564422,0.006262041121143423,3
full,Compact baseline,Occlusion,aux_occlusion_25,0.25,25%,oa,Compact OA (%),84.16550517886913,1.8734129896579326,3
full,Compact baseline,Occlusion,aux_occlusion_25,0.25,25%,q_aux,Aux reliability,0.28694254083774295,0.020811328711607735,3
full,Compact baseline,Occlusion,aux_occlusion_25,0.25,25%,fusion_aux,Aux fusion weight,0.4308703766712672,0.0024258054540928433,3
full,Compact baseline,Occlusion,aux_occlusion_50,0.5,50%,oa,Compact OA (%),74.21223798201744,5.638361378513485,3
full,Compact baseline,Occlusion,aux_occlusion_50,0.5,50%,q_aux,Aux reliability,0.33573206371974484,0.06270787052936257,3
full,Compact baseline,Occlusion,aux_occlusion_50,0.5,50%,fusion_aux,Aux fusion weight,0.44241352465370953,0.012772266067577703,3
quality_degradation_supervised,Noise-only quality,Noise,aux_noise_low,0.1,low,oa,Compact OA (%),87.18810636495313,0.8821678882506928,3
quality_degradation_supervised,Noise-only quality,Noise,aux_noise_low,0.1,low,q_aux,Aux reliability,0.8263521461734937,0.030145464582090952,3
quality_degradation_supervised,Noise-only quality,Noise,aux_noise_low,0.1,low,fusion_aux,Aux fusion weight,0.4571937173763787,0.0075337686075679245,3
quality_degradation_supervised,Noise-only quality,Noise,aux_noise_mid,0.25,mid,oa,Compact OA (%),86.52947446093302,1.1424522083461774,3
quality_degradation_supervised,Noise-only quality,Noise,aux_noise_mid,0.25,mid,q_aux,Aux reliability,0.6201004873083515,0.012827815070995612,3
quality_degradation_supervised,Noise-only quality,Noise,aux_noise_mid,0.25,mid,fusion_aux,Aux fusion weight,0.40659465910027187,0.0031120605794520487,3
