variant,method,mode,family,severity,runs,oa,oa_std,q_aux,q_aux_std,fusion_aux,fusion_aux_std,macs,full_drop
full,Full baseline,aux_downsample_2,resolution,0.5,3,0.8548823481183898,0.010495985058630055,0.23753489173610962,0.015876919174895778,0.4190976395325448,0.004228339923428366,0.7993535817125785,0.014867043808586833
full,Full baseline,aux_downsample_4,resolution,0.75,3,0.7837173075346396,0.019103585937468675,0.181313805162185,0.01941686036412707,0.4056304485564422,0.006262041121143423,0.7993535817125785,0.086032084392337
full,Full baseline,aux_noise_high,noise,0.5,3,0.7207783334699789,0.014486575827485183,0.5377682965225509,0.018828091045543456,0.4916014116915013,0.005002674125339533,0.7993535817125785,0.14897105845699776
full,Full baseline,aux_noise_low,noise,0.1,3,0.865076111612145,0.0067560448381538485,0.30680241936401415,0.02426214137556994,0.43563258582923886,0.004561232026409872,0.7993535817125785,0.004673280314831607
full,Full baseline,aux_noise_mid,noise,0.25,3,0.8388674810745812,0.007379470943887934,0.42994988698794634,0.041043227077405466,0.4652697058863738,0.00901468255152313,0.7993535817125785,0.030881910852395444
full,Full baseline,aux_occlusion_25,occlusion,0.25,3,0.8416550517886913,0.018734129896579327,0.28694254083774295,0.020811328711607735,0.4308703766712672,0.0024258054540928433,0.7993535817125785,0.02809434013828538
full,Full baseline,aux_occlusion_50,occlusion,0.5,3,0.7421223798201744,0.05638361378513485,0.33573206371974484,0.06270787052936257,0.44241352465370953,0.012772266067577703,0.7993535817125785,0.12762701210680227
full,Full baseline,full,complete,0.0,3,0.8697493919269766,0.007091947339036412,0.2556254632315115,0.01580781284060112,0.4235565295187755,0.003424822835023861,0.7993535817125785,0.0
quality_degradation_supervised,Noise quality,aux_downsample_2,resolution,0.5,3,0.861277363286054,0.010063762296978983,0.9277438482681513,0.02158471378795908,0.4823548546283016,0.005261417177121759,0.7999292881891552,0.013254625454346636
quality_degradation_supervised,Noise quality,aux_downsample_4,resolution,0.75,3,0.8014265803066327,0.029762771874175697,0.9360708247764631,0.017850808900157316,0.48469883048186774,0.004350743873308575,0.7999292881891552,0.0731054084337679
