mode,selected_budget,target_budget,oa,expected_macs_ratio,metric_regret,resource_saving_vs_reference
aux_downsample_2,1.0,1.0,0.8397146839386734,0.9999983906745911,0.0,0.0
aux_downsample_4,1.0,1.0,0.8385668607034517,0.9999983906745911,0.0,0.0
aux_noise,1.0,1.0,0.8083135197179634,0.9999983906745911,0.0,0.0
aux_noise_high,1.0,1.0,0.7965893252439125,0.9999983906745911,0.0,0.0
aux_noise_low,1.0,1.0,0.8215954742969582,0.9999983906745911,0.0,0.0
aux_noise_mid,1.0,1.0,0.8079035828482414,0.9999983906745911,0.0,0.0
aux_occlusion_25,1.0,1.0,0.8352053783717307,0.9999983906745911,0.0,0.0
aux_occlusion_50,1.0,1.0,0.8136426990243503,0.9999983906745911,0.0,0.0
aux_only,1.0,0.65,0.3278675084037058,0.9999983906745911,0.047716651635648144,0.0
full,1.0,0.8,0.8448798884971714,0.9999983906745911,0.0,0.0
main_only,1.0,0.8,0.7656800852668689,0.9999983906745911,0.0,0.0
