mode,selected_budget,oa,expected_macs_ratio
aux_downsample_2,1.0,0.8166762318602935,1.0
aux_downsample_4,1.0,0.78855456259736,1.0
aux_noise,1.0,0.7828974337951955,1.0
aux_noise_high,1.0,0.7785521029761416,1.0
aux_noise_low,1.0,0.8104451914405182,1.0
aux_noise_mid,1.0,0.7820775600557515,1.0
aux_occlusion_25,1.0,0.8163482823645158,1.0
aux_occlusion_50,0.8,0.765106173649258,0.8003400391143258
aux_only,0.65,0.39198163482823645,0.3955129087103083
full,1.0,0.8304501106829548,1.0
main_only,0.65,0.6879560547675658,0.5224360706809628
