"policy","mean_oa_seed0","mean_macs_seed0","mean_oa_seed1","mean_macs_seed1","mean_oa_seed2","mean_macs_seed2","mean_oa_3seed","mean_macs_3seed","mean_regret_3seed","mean_saving_3seed","std_oa_3seed","std_macs_3seed"
"utility_lambda_0","0.739570833364389","0.91518066146157","0.747270193117533","0.892968237400055","0.77706142344988","0.968806087970734","0.754634149977267","0.925651662277453","0","0.0743467283971382","0.0161669824377463","0.0318336958620873"
"pareto_delta_0","0.739570833364389","0.91518066146157","0.747270193117533","0.892968237400055","0.77706142344988","0.968806087970734","0.754634149977267","0.925651662277453","0","0.0743467283971382","0.0161669824377463","0.0318336958620873"
"pareto_delta_0.005","0.739570833364389","0.91518066146157","0.747113671767275","0.875129878520966","0.776770740942259","0.950946325605566","0.754485082024641","0.913752288529367","0.000149067952626205","0.0862461021452239","0.0160563912059405","0.0309684097004037"
"pareto_delta_0.01","0.737722390751824","0.834861625324596","0.747113671767275","0.875129878520966","0.776196829324648","0.933086563240398","0.753677630614582","0.881026022361987","0.000956519362684812","0.118972368312604","0.0163785382474617","0.0403163158972171"
"utility_lambda_0.05","0.736708728673966","0.803633749485016","0.747113671767275","0.875129878520966","0.776196829324648","0.933086563240398","0.753339743255296","0.87061673041546","0.00129440672197088","0.129381660259131","0.0167112835708902","0.0529451548092495"
"utility_lambda_0.1","0.733705009428548","0.772405873645436","0.742947222491373","0.821614801883698","0.772745906221351","0.879507276144895","0.749799379380424","0.824509317224676","0.00483477059684323","0.175489073449915","0.0166585702892075","0.0437718423085903"
"pareto_delta_0.02","0.736708728673966","0.803633749485016","0.742947222491373","0.821614801883698","0.769160821960691","0.843787751414559","0.74960559104201","0.823012100927757","0.0050285589352573","0.176986289746834","0.0140602274398309","0.0164225515923143"
"pareto_delta_0.03","0.728964648535035","0.745676690881902","0.74042797409199","0.808317731727253","0.761081338928351","0.776875923980366","0.743491320518458","0.776956782196507","0.0111428294588088","0.223041608478084","0.0132893069533729","0.0255731617532335"
"utility_lambda_0.15","0.726795709824323","0.714448815042322","0.739451579002288","0.790479372848164","0.759732273957084","0.763543383641677","0.741993187594565","0.756157190510721","0.0126409623827022","0.24384120016387","0.0135658675824071","0.0314756870911786"
"utility_lambda_0.2","0.719647901495897","0.669856347820976","0.736932330602905","0.77718230269172","0.743603121482928","0.670215601270849","0.73339445119391","0.705751417261181","0.0212396987833571","0.29424697341341","0.010094572277259","0.0505094764098997"
"utility_lambda_0.3","0.715809401715772","0.656491756439209","0.733116191015674","0.763885232535276","0.740815550768818","0.656883060932159","0.729913714500088","0.692420016635548","0.0247204354771789","0.307578374039043","0.010456856267236","0.0505337912852879"
