"policy","mean_oa_seed0","mean_macs_seed0","mean_regret_seed0","mean_saving_seed0","mean_oa_seed1","mean_macs_seed1","mean_regret_seed1","mean_saving_seed1","mean_oa_2seed","mean_macs_2seed","mean_regret_2seed","mean_saving_2seed"
"utility_lambda_0","0.739570833364389","0.91518066146157","0","0.084817729213021","0.747270193117533","0.892968237400055","0","0.107030153274536","0.743420513240961","0.904074449430812","0","0.0959239412437786"
"pareto_delta_0","0.739570833364389","0.91518066146157","0","0.084817729213021","0.747270193117533","0.892968237400055","0","0.107030153274536","0.743420513240961","0.904074449430812","0","0.0959239412437786"
"pareto_delta_0.005","0.739570833364389","0.91518066146157","0","0.084817729213021","0.747113671767275","0.875129878520966","0.000156521350257515","0.124868512153625","0.743342252565832","0.895155269991268","7.82606751287576E-05","0.104843120683323"
"pareto_delta_0.01","0.737722390751824","0.834861625324596","0.00184844261256493","0.165136765349995","0.747113671767275","0.875129878520966","0.000156521350257515","0.124868512153625","0.74241803125955","0.854995751922781","0.00100248198141122","0.14500263875181"
"utility_lambda_0.05","0.736708728673966","0.803633749485016","0.00286210469042313","0.196364641189575","0.747113671767275","0.875129878520966","0.000156521350257515","0.124868512153625","0.741911200220621","0.839381814002991","0.00150931302034032","0.1606165766716"
"pareto_delta_0.02","0.736708728673966","0.803633749485016","0.00286210469042313","0.196364641189575","0.742947222491373","0.821614801883698","0.00432297062615993","0.178383588790894","0.739827975582669","0.812624275684357","0.00359253765829153","0.187374114990234"
"utility_lambda_0.1","0.733705009428548","0.772405873645436","0.00586582393584116","0.227592517029155","0.742947222491373","0.821614801883698","0.00432297062615993","0.178383588790894","0.73832611595996","0.797010337764567","0.00509439728100054","0.202988052910024"
"pareto_delta_0.03","0.728964648535035","0.745676690881902","0.0106061848293545","0.254321699792689","0.74042797409199","0.808317731727253","0.00684221902554279","0.191680658947338","0.734696311313512","0.776997211304578","0.00872420192744863","0.223001179370013"
"utility_lambda_0.15","0.726795709824323","0.714448815042322","0.0127751235400658","0.285549575632269","0.739451579002288","0.790479372848164","0.00781861411524443","0.209519017826427","0.733123644413306","0.752464093945243","0.0102968688276551","0.247534296729348"
"utility_lambda_0.2","0.719647901495897","0.669856347820976","0.0199229318684923","0.330142042853615","0.736932330602905","0.77718230269172","0.0103378625146273","0.222816087982871","0.728290116049401","0.723519325256348","0.0151303971915598","0.276479065418243"
"utility_lambda_0.3","0.715809401715772","0.656491756439209","0.023761431648617","0.343506634235382","0.733116191015674","0.763885232535276","0.0141540021018581","0.236113158139316","0.724462796365723","0.710188494487242","0.0189577168752376","0.289809896187349"
