policy,mean_oa,mean_selected_budget,mean_expected_macs_ratio,routing_accuracy_vs_oracle,routing_accuracy_vs_utility,utility_resource_penalty,pareto_metric_tolerance,mean_metric_regret,mean_resource_saving_vs_reference,modes
pareto_delta_0,0.7770614234498797,0.9681818181818183,0.9688060879707336,,,,0.0,0.0,0.031192302703857422,11
pareto_delta_0.005,0.7767707409422585,0.9500000000000001,0.9509463256055658,,,,0.005,0.0002906825076210984,0.049052065069025215,11
pareto_delta_0.01,0.7761968293246476,0.931818181818182,0.9330865632403981,,,,0.01,0.0008645941252319878,0.06691182743419301,11
pareto_delta_0.02,0.7691608219606908,0.8409090909090909,0.8437877514145591,,,,0.02,0.007900601489188828,0.15621063926003195,11
pareto_delta_0.03,0.7610813389283506,0.7727272727272727,0.7768759239803661,,,,0.03,0.015980084521529114,0.22312246669422497,11
utility_lambda_0,0.7770614234498797,0.9681818181818183,0.9688060879707336,,,0.0,,0.0,0.031192302703857422,11
utility_lambda_0.05,0.7761968293246476,0.931818181818182,0.9330865632403981,,,0.05,,0.0008645941252319878,0.06691182743419301,11
utility_lambda_0.1,0.772745906221351,0.8772727272727273,0.8795072761448947,,,0.1,,0.0043155172285286115,0.12049111452969638,11
utility_lambda_0.15,0.7597322739570835,0.7590909090909093,0.7635433836416765,,,0.15,,0.01732914949279627,0.23645500703291458,11
utility_lambda_0.2,0.7436031214829281,0.6636363636363638,0.670215601270849,,,0.2,,0.033458301966951626,0.329782789403742,11
utility_lambda_0.3,0.7408155507688181,0.6500000000000001,0.6568830609321594,,,0.3,,0.03624587268106166,0.34311532974243164,11
