mode,selected_budget,oa,expected_macs_ratio
aux_downsample_2,0.8,0.4784783143395917,0.7986668697728814
aux_downsample_4,0.8,0.4664261703697631,0.7986668697728814
aux_noise,0.8,0.43461506927933097,0.7986668697728814
aux_noise_high,0.8,0.33500040993686975,0.7986668697728814
aux_noise_low,0.8,0.4804460113142576,0.7986668697728814
aux_noise_mid,0.8,0.43576289251455275,0.7986668697728814
aux_occlusion_25,0.8,0.5029105517750266,0.7986668697728814
aux_occlusion_50,0.8,0.4456833647618267,0.7986668697728814
aux_only,0.65,0.1513486923013856,0.3951526613465942
full,0.8,0.48602115274247765,0.7986668697728814
main_only,0.65,0.3335246372058703,0.5140951003901605
