variant,seed,class_id,full_class_accuracy
muufl_100_baseline,0,1,91.9856252164877
muufl_100_baseline,0,2,83.51941747572815
muufl_100_baseline,0,3,74.88116458704694
muufl_100_baseline,0,4,92.30310262529832
muufl_100_baseline,0,5,92.65718219366683
muufl_100_baseline,0,6,99.68354430379746
muufl_100_baseline,0,7,91.16658665386463
muufl_100_baseline,0,8,94.17077175697865
muufl_100_baseline,0,9,85.4251012145749
muufl_100_baseline,0,10,72.28915662650603
muufl_100_baseline,0,11,97.0414201183432
muufl_100_baseline,1,1,88.67336335296156
muufl_100_baseline,1,2,88.7135922330097
muufl_100_baseline,1,3,72.69756387403447
muufl_100_baseline,1,4,94.63007159904535
muufl_100_baseline,1,5,84.9013308857274
muufl_100_baseline,1,6,100.0
muufl_100_baseline,1,7,97.02352376380222
muufl_100_baseline,1,8,92.75862068965517
muufl_100_baseline,1,9,84.12955465587044
muufl_100_baseline,1,10,93.97590361445783
muufl_100_baseline,1,11,99.40828402366864
muufl_100_baseline,2,1,92.12417734672671
muufl_100_baseline,2,2,81.62621359223301
muufl_100_baseline,2,3,82.35294117647058
muufl_100_baseline,2,4,80.01193317422435
muufl_100_baseline,2,5,85.22257916475448
muufl_100_baseline,2,6,99.68354430379746
muufl_100_baseline,2,7,90.87854056649064
muufl_100_baseline,2,8,96.83087027914614
muufl_100_baseline,2,9,81.4574898785425
muufl_100_baseline,2,10,92.7710843373494
muufl_100_baseline,2,11,99.40828402366864
muufl_80_p025_multideg,0,1,87.04537582265327
muufl_80_p025_multideg,0,2,86.84466019417476
muufl_80_p025_multideg,0,3,72.53416518122401
muufl_80_p025_multideg,0,4,96.53937947494033
muufl_80_p025_multideg,0,5,88.81750038243842
muufl_80_p025_multideg,0,6,100.0
muufl_80_p025_multideg,0,7,96.11137782045127
muufl_80_p025_multideg,0,8,90.77175697865353
muufl_80_p025_multideg,0,9,81.21457489878543
muufl_80_p025_multideg,0,10,73.49397590361446
muufl_80_p025_multideg,0,11,99.40828402366864
muufl_80_p025_multideg,1,1,90.82092137166609
muufl_80_p025_multideg,1,2,87.47572815533981
muufl_80_p025_multideg,1,3,75.07427213309566
muufl_80_p025_multideg,1,4,99.10501193317423
muufl_80_p025_multideg,1,5,89.76594768242313
muufl_80_p025_multideg,1,6,100.0
muufl_80_p025_multideg,1,7,91.4066250600096
muufl_80_p025_multideg,1,8,94.7454844006568
muufl_80_p025_multideg,1,9,73.76518218623481
muufl_80_p025_multideg,1,10,98.79518072289156
muufl_80_p025_multideg,1,11,99.40828402366864
muufl_80_p025_multideg,2,1,86.87218565985452
muufl_80_p025_multideg,2,2,84.29611650485437
muufl_80_p025_multideg,2,3,65.73083778966132
muufl_80_p025_multideg,2,4,93.85441527446301
muufl_80_p025_multideg,2,5,90.34725409209118
muufl_80_p025_multideg,2,6,100.0
muufl_80_p025_multideg,2,7,97.11953912626021
muufl_80_p025_multideg,2,8,90.27914614121511
muufl_80_p025_multideg,2,9,78.78542510121459
muufl_80_p025_multideg,2,10,90.36144578313254
muufl_80_p025_multideg,2,11,96.44970414201184
