evidence_id,claim_id,dataset,variant,mode,seeds,metric,mean,std,formatted,unit,source_file,paper_target,status,note
E_BUDGET_65,C1,Houston2013,budgeted compact export,full,3,actual_macs_ratio,0.649590,0.001172,64.96 +/- 0.12,ratio,docs/generated/structured_pruning_multiseed_runs.csv,Table 1 / Figure 2,ready,Target MAC ratio 0.65; compact OA 85.53 +/- 2.20%. Params 64.79 +/- 1.93%.
E_BUDGET_80,C1,Houston2013,budgeted compact export,full,3,actual_macs_ratio,0.800126,0.000995,80.01 +/- 0.10,ratio,docs/generated/structured_pruning_multiseed_runs.csv,Table 1 / Figure 2,ready,Target MAC ratio 0.80; compact OA 85.84 +/- 0.92%. Params 79.92 +/- 0.37%.
E_BUDGET_90,C1,Houston2013,budgeted compact export,full,3,actual_macs_ratio,0.900651,0.000789,90.07 +/- 0.08,ratio,docs/generated/structured_pruning_multiseed_runs.csv,Table 1 / Figure 2,ready,Target MAC ratio 0.90; compact OA 85.74 +/- 0.88%. Params 89.78 +/- 0.84%.
E_SOURCE_COMPACT_FULL,C2,Houston2013,quality_multi_degradation_p025,full,3,oa,0.868984,0.016550,86.90 +/- 1.65,ratio,docs/generated/brmnet_priority_summary.csv,Table: source-vs-compact export,ready,Source-vs-compact metrics are in the same summary row; source OA is 86.15%.
E_SOURCE_COMPACT_MAIN_ONLY,C2,Houston2013,quality_multi_degradation_p025,main_only,3,oa,0.800361,0.019328,80.04 +/- 1.93,ratio,docs/generated/brmnet_priority_summary.csv,Table: source-vs-compact export,ready,Source-vs-compact metrics are in the same summary row; source OA is 78.18%.
E_SOURCE_COMPACT_AUX_ONLY,C2,Houston2013,quality_multi_degradation_p025,aux_only,3,oa,0.380449,0.008421,38.04 +/- 0.84,ratio,docs/generated/brmnet_priority_summary.csv,Table: source-vs-compact export,ready,Source-vs-compact metrics are in the same summary row; source OA is 38.43%.
E_UNIFORM_WIDTH_FULL,C2,Houston2013,uniform_width_export,full,3,oa,0.862917,0.007706,86.29 +/- 0.77,ratio,docs/generated/brmnet_priority_summary.csv,Table: uniform-width export ablation,ready,Target-matched uniform-width export baseline; compare against learned nonuniform quality_multi_degradation_p025 export at the same 80% MAC budget.
E_UNIFORM_WIDTH_MAIN_ONLY,C2,Houston2013,uniform_width_export,main_only,3,oa,0.792162,0.014735,79.22 +/- 1.47,ratio,docs/generated/brmnet_priority_summary.csv,Table: uniform-width export ablation,ready,Target-matched uniform-width export baseline; compare against learned nonuniform quality_multi_degradation_p025 export at the same 80% MAC budget.
E_UNIFORM_WIDTH_AUX_NOISE_HIGH,C2,Houston2013,uniform_width_export,aux_noise_high,3,oa,0.849307,0.008290,84.93 +/- 0.83,ratio,docs/generated/brmnet_priority_summary.csv,Table: uniform-width export ablation,ready,Target-matched uniform-width export baseline; compare against learned nonuniform quality_multi_degradation_p025 export at the same 80% MAC budget.
E_UNIFORM_WIDTH_AUX_DOWNSAMPLE_4,C2,Houston2013,uniform_width_export,aux_downsample_4,3,oa,0.828810,0.007455,82.88 +/- 0.75,ratio,docs/generated/brmnet_priority_summary.csv,Table: uniform-width export ablation,ready,Target-matched uniform-width export baseline; compare against learned nonuniform quality_multi_degradation_p025 export at the same 80% MAC budget.
