path,kind,rows,best_accuracy,final_accuracy,final_best,final_epoch
dwp2.out,out,0,,,,
dwp4.out,out,0,,,,
dwp6.out,out,0,,,,
dwp8.out,out,0,,,,
claude\res0.out,out,300,0.79339,0.78692,0.79339,299
claude\res1.out,out,300,0.83053,0.82651,0.83053,299
claude\res2.out,out,300,0.88596,0.88128,0.88596,299
claude\res3.out,out,300,0.88333,0.87267,0.88333,299
Drfuse\depose_intra.out,out,0,,,,
Drfuse\depose_intra_acc.out,out,300,0.863,0.8571,0.863,299
Drfuse\drfuse.out,out,0,,,,
Drfuse\drfuse1.out,out,0,,,,
Drfuse\drfuse_acc1.out,out,300,0.86242,0.85406,0.86242,299
MCL\base.out,out,350,0.8821,0.87866,0.8821,349
MCL\dgd.out,out,350,0.89309,0.88153,0.89309,349
MCL\dw.out,out,300,0.86784,0.86021,0.86784,299
MCL\dw1.out,out,0,,,,
MCL\dwp1.out,out,400,0.08789,0.08682,0.08789,399
MCL\dwp2.out,out,400,0.08789,0.02337,0.08789,399
MCL\dwp4.out,out,400,0.62187,0.41912,0.62187,399
MCL\dwp6.out,out,400,0.69952,0.50291,0.69952,399
MCL\dwp8.out,out,400,0.74469,0.65418,0.74469,399
MCL\dwp81.out,out,400,0.69542,0.64139,0.69542,399
MCL\dwp9.out,out,400,0.76658,0.62942,0.76658,399
MCL\dwp91.out,out,400,0.75141,0.6486,0.75141,399
MCL\gate1.out,out,400,0.88177,0.87046,0.88177,399
MCL\gate2.out,out,157,0.86816,0.85505,0.86816,156
MCL\gate3.out,out,400,0.87669,0.8607,0.87669,399
MCL\gate4.out,out,400,0.87235,0.85587,0.87235,399
MCL\gpt.out,out,300,0.88382,0.87776,0.88382,299
MCL\mcl.out,out,4,0.0,0.19989,0.0,3
MCL\mcl_drop.out,out,300,0.88604,0.87792,0.88604,299
MCL\mcl_se.out,out,300,0.88038,0.87284,0.88038,299
missing\base.out,out,300,0.24361,0.23552,0.24361,299
missing\base_sfd.out,out,209,0.86538,0.85447,0.86538,208
missing\missing.out,out,300,0.33527,0.32322,0.33527,299
missing1\ckd1.out,out,300,0.62966,0.61158,0.62966,299
missing1\ckd2.out,out,300,0.64573,0.62757,0.64573,299
missing1\ckd3.out,out,300,0.63889,0.62396,0.63889,299
missing1\figure.out,out,300,0.83455,0.81168,0.83455,299
missing1\figure1.out,out,300,0.83668,0.8334,0.83668,299
missing1\figure_para1.out,out,300,0.81709,0.80733,0.81709,299
missing1\figure_stable.out,out,300,0.83365,0.82274,0.83365,299
missing1\sfd_md_loss.out,out,155,0.84357,0.82233,0.84357,154
missing1\sfd_md_loss1.out,out,300,0.85652,0.85054,0.85652,299
missing1\sfd_md_loss2.out,out,300,0.84398,0.83594,0.84398,299
missing1\sfd_md_loss3.out,out,177,0.84373,0.82996,0.84373,176
missing1\sfd_no_loss.out,out,300,0.85759,0.84111,0.85759,299
missing1\true_base.out,out,300,0.87554,0.86398,0.87554,299
missing2\depose_berlin.out,out,0,,,,
missing2\depose_lidar_lambda.out,out,0,,,,
missing2\depose_lidar_lambda6.out,out,0,,,,
Mlevel\gate2.out,out,400,0.87161,0.86423,0.87161,399
Mlevel\gate3.out,out,400,0.87718,0.86775,0.87718,399
Mlevel\gate3_step.out,out,400,0.87169,0.85455,0.87169,399
Mlevel\gate4.out,out,400,0.88079,0.86505,0.88079,399
Mlevel\gate4_step.out,out,400,0.86415,0.85595,0.86415,399
origin\huston_teacher1.out,out,0,,,,
single\single_hsi.out,out,500,0.85021,0.84127,0.85021,499
single\single_lidar.out,out,500,0.56866,0.54997,0.56866,499
single\single_ms.out,out,500,0.86103,0.85947,0.86103,499
src\cls_loss_sum.csv,csv,0,,,,
src\lkd_loss_sum.csv,csv,0,,,,
src\nohup.out,out,500,0.77585,0.76322,0.77585,499
