train_epoch,400
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,multi_step
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/
log_root,../output/logs/
modal,multi
model_name,hsi_lidargate3_step
log_name,hsi_lidargate3_step
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.003
gama,1.003
osc,0.8
t_max,2.0
gpu,0
version,0
identity,gate3_step
name,hsi_lidargate3_step
train_epoch,400
batch_size,32
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,multi_step
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/
log_root,../output/logs/
modal,multi
model_name,hsi_lidargate3_step
log_name,hsi_lidargate3_step
backbone,couple_cross_fc
patch_size,7
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.003
gama,1.003
osc,0.8
t_max,2.0
gpu,0
version,0
identity,gate3_step
name,hsi_lidargate3_step
0.0,0.017545,0.017060335700686578,-0.044001227572734405,0
2.768426324544328,0.161761,0.12405350497455761,0.08180351656182273,0
2.6373800722400795,0.16668,0.15836247816510973,0.09980193974528542,0
2.4135550273938127,0.281299,0.3237483626885895,0.2333034520565787,0
2.1616411316260864,0.329671,0.39221851078114034,0.2873127407502858,0
1.8885503150104137,0.45708,0.5109295399453088,0.42221900258567774,0
1.6512743944532415,0.513651,0.5601576215772882,0.48171298631470383,0.513651
1.462712555788876,0.588505,0.6410937813501076,0.5606432261984894,0.588505
1.3078342033236214,0.638846,0.6974685916191393,0.6135916006207767,0.638846
1.1678359582183067,0.624252,0.6471871521883545,0.5950156926866992,0.638846
1.0422628515222099,0.664836,0.7078209654795677,0.6396242661712005,0.664836
0.9120018689819936,0.635812,0.6656065960427304,0.6074156062934731,0.664836
0.8237596984659687,0.676396,0.6994135389833183,0.6505625476250428,0.676396
0.7472839409045959,0.584898,0.608868858372397,0.5520083603658031,0.676396
0.6764333951339293,0.583914,0.6263356571747253,0.5532659579844824,0.676396
0.6123575534713402,0.679019,0.7190953290916328,0.6535674542294067,0.679019
0.5458367600869597,0.69886,0.7306363390014498,0.6754268308537699,0.69886
0.5240274972460243,0.532098,0.5721612139078706,0.5004879102060115,0.69886
0.46538203653324856,0.613512,0.6619885734772134,0.5851260483410821,0.69886
0.43869190403584685,0.713864,0.7368928242276856,0.6903436344071051,0.713864
0.40427614765220815,0.644175,0.6905380920647055,0.6178140715034054,0.713864
0.375810071156266,0.641879,0.6987394431132983,0.6150603686570413,0.713864
0.36225065421522334,0.751906,0.775860367830461,0.7318894015083577,0.751906
0.3543720998790827,0.736493,0.7620934543595603,0.7151535739346194,0.751906
0.3141615337200379,0.641223,0.7038659827390271,0.6139998662765253,0.751906
0.31734293967150573,0.692711,0.6824027717584579,0.667977912782075,0.751906
0.2963136255406262,0.664426,0.6527558555194225,0.6373289947251932,0.751906
0.27431088853418156,0.732229,0.7646720438278484,0.710511378796467,0.751906
0.2628534553426035,0.75166,0.7858592976466215,0.7321352884315657,0.751906
0.24909544392917934,0.766254,0.8025520232578439,0.7478404162948464,0.766254
0.25038406889090375,0.771583,0.8062412187300997,0.753496923060412,0.771583
0.2130545705891727,0.806674,0.8302554042621093,0.7909925544571064,0.806674
0.22534695652763495,0.765434,0.7658534992247635,0.7460793859640144,0.806674
0.22550569257039701,0.757153,0.7846285253004788,0.7373588799629683,0.806674
0.20576600554618943,0.764532,0.8015494130510397,0.745491152960314,0.806674
