mode,loss,cls,budget,quality,pre_quality,soft_retention,hard_retention,target_budget,resource_ratio,expected_params_ratio,expected_macs_ratio,q_main,q_aux,pre_q_main,pre_q_aux,pre_u_main,pre_u_aux,fusion_weight_main,fusion_weight_aux,accuracy,samples,oa,aa,kappa,class_accuracy,confusion_matrix
full,0.3938566145038608,0.3827349032710039,0.0,0.011121711673661857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991116117964196,0.9283153170577804,0.0,0.0,0.0,0.0,0.5176399311525106,0.4823600682518659,0.8729692924410687,52137,0.8729692924410687,0.8911690075204074,0.8342115245621107,"[0.9066072047107724,0.737378640776699,0.7872846108140226,0.9498806682577565,0.8571210035184336,1.0,0.9126260201632261,0.9167487684729064,0.8072874493927126,0.9397590361445783,0.9881656804733728]","[[20939,399,501,95,210,80,580,71,172,49,0],[21,3038,751,5,0,8,2,0,71,222,2],[52,593,5300,67,5,18,10,0,284,350,53],[2,0,7,1592,1,0,0,0,67,7,0],[25,0,4,99,5603,3,60,1,161,581,0],[0,0,0,0,0,316,0,0,0,0,0],[81,8,52,1,18,0,1901,19,2,1,0],[40,28,5,8,13,0,313,5583,95,5,0],[10,8,43,47,29,0,6,15,997,80,0],[1,0,0,0,3,0,1,0,0,78,0],[0,2,0,0,0,0,0,0,0,0,167]]"
main_only,0.5573800067521876,0.5573396098626715,0.0,4.03966341103436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991116117964196,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.0,0.8290657306711164,52137,0.8290657306711164,0.8536251593797682,0.7789672523536728,"[0.8762123311395913,0.7490291262135922,0.7667855020796197,0.8627684964200477,0.7846106776808934,0.9968354430379747,0.8247719635141623,0.8055829228243021,0.7951417004048583,0.9518072289156626,0.9763313609467456]","[[20237,1302,473,37,70,130,418,9,214,170,36],[30,3086,608,1,0,18,3,0,98,269,7],[67,724,5162,107,1,13,24,0,217,362,55],[2,0,12,1446,4,0,0,0,179,33,0],[18,4,4,46,5129,4,156,160,243,773,0],[1,0,0,0,0,315,0,0,0,0,0],[165,2,16,0,9,148,1718,9,1,15,0],[20,14,0,6,98,265,479,4906,170,132,0],[18,7,29,20,21,1,7,17,982,133,0],[1,0,0,0,2,0,1,0,0,79,0],[0,4,0,0,0,0,0,0,0,0,165]]"
aux_only,1.3729964539096868,1.3619151398052813,0.0,0.011081315028993729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9283153170577804,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.5055526785200529,52137,0.5055526785200529,0.5832397864917902,0.41129317639759816,"[0.39283858676827155,0.10946601941747573,0.6149732620320856,0.6915274463007159,0.7599816429554842,0.939873417721519,0.2650024003840615,0.8198686371100165,0.4291497975708502,0.46987951807228917,0.9230769230769231]","[[9073,1209,1322,903,943,6,151,8175,794,327,193],[43,451,2321,203,3,4,2,3,147,355,588],[55,200,4140,930,96,10,18,10,457,553,263],[19,74,296,1159,0,8,11,12,51,6,40],[30,106,21,473,4968,301,168,8,157,303,2],[0,0,0,6,7,297,0,0,0,6,0],[80,61,216,415,379,0,552,28,319,26,7],[714,47,26,77,36,0,67,4993,130,0,0],[41,29,243,262,6,72,16,7,530,28,1],[1,9,9,5,12,0,3,0,3,39,2],[2,11,0,0,0,0,0,0,0,0,156]]"
aux_noise,0.40346835217164567,0.3795551096593117,0.0,0.02391324285841148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991116117964196,0.94503963633374,0.0,0.0,0.0,0.0,0.5134953987528225,0.48650459979698873,0.8731802750445941,52137,0.8731802750445941,0.8903481396458127,0.8344230749986071,"[0.9080360235538621,0.7456310679611651,0.7863933452168747,0.9457040572792362,0.851766865534649,1.0,0.9078252520403265,0.9167487684729064,0.8097165991902834,0.9397590361445783,0.9822485207100592]","[[20972,407,497,97,201,83,550,67,168,52,2],[20,3072,741,4,0,8,2,0,68,204,1],[53,618,5294,69,3,17,6,0,287,334,51],[2,0,8,1585,2,0,0,0,71,8,0],[27,0,4,103,5568,5,56,2,179,593,0],[0,0,0,0,0,316,0,0,0,0,0],[88,8,55,1,18,0,1891,19,2,1,0],[40,28,6,7,11,0,312,5583,99,4,0],[12,8,46,48,27,0,5,15,1000,74,0],[1,0,0,0,3,0,1,0,0,78,0],[0,3,0,0,0,0,0,0,0,0,166]]"
aux_noise_low,0.4046267169435769,0.3818862748421976,0.0,0.02274044164751649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991116117964196,0.9339081481255466,0.0,0.0,0.0,0.0,0.5162562611627253,0.48374373703439916,0.8728542110209639,52137,0.8728542110209639,0.8910179649562018,0.8340652665904936,"[0.9066937997921718,0.7402912621359223,0.7855020796197266,0.9498806682577565,0.8563561266636072,1.0,0.913106096975516,0.9165845648604269,0.8048582995951417,0.9397590361445783,0.9881656804733728]","[[20941,407,498,98,208,80,573,73,167,51,0],[20,3050,750,5,0,8,2,0,66,217,2],[52,604,5288,69,5,19,9,0,286,347,53],[2,0,7,1592,1,0,0,0,67,7,0],[25,0,5,99,5598,4,56,1,161,588,0],[0,0,0,0,0,316,0,0,0,0,0],[80,8,52,1,18,0,1902,19,2,1,0],[40,29,4,7,12,0,315,5582,96,5,0],[9,9,46,48,28,0,6,15,994,80,0],[1,0,0,0,3,0,1,0,0,78,0],[0,2,0,0,0,0,0,0,0,0,167]]"
aux_noise_mid,0.5804777033229046,0.37946603873266843,0.0,0.20101166389629482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991116117964196,0.9451319028056413,0.0,0.0,0.0,0.0,0.5134723167778226,0.48652768399042884,0.8727774900742276,52137,0.8727774900742276,0.8891504917263365,0.8338905323992784,"[0.9083824038794597,0.7444174757281553,0.7846108140225787,0.948090692124105,0.8514609147927183,1.0,0.9063850216034566,0.9157635467980295,0.805668016194332,0.927710843373494,0.9881656804733728]","[[20980,419,479,96,205,84,555,64,168,46,0],[21,3067,740,5,0,8,3,0,69,206,1],[55,619,5282,74,5,16,7,0,290,333,51],[2,0,7,1589,1,0,0,0,70,7,0],[26,0,6,104,5566,6,56,1,176,596,0],[0,0,0,0,0,316,0,0,0,0,0],[89,9,54,1,20,0,1888,19,2,1,0],[40,28,5,8,13,0,313,5577,102,4,0],[12,10,44,49,27,0,6,15,995,77,0],[1,0,0,0,3,0,2,0,0,77,0],[0,2,0,0,0,0,0,0,0,0,167]]"
aux_noise_high,0.9560064293367989,0.3734729548900394,0.0,0.5825334734803004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991116117964196,0.962700287608481,0.0,0.0,0.0,0.0,0.5090989487401695,0.4909010515656449,0.8742735485355889,52137,0.8742735485355889,0.8902326165570574,0.8356742932464266,"[0.9128420505715276,0.7662621359223301,0.777926322043969,0.9409307875894988,0.8439651216154199,0.9968354430379747,0.8939030244839175,0.9165845648604269,0.8153846153846154,0.9397590361445783,0.9881656804733728]","[[21083,432,453,99,186,90,481,60,163,49,0],[18,3157,694,4,0,7,2,0,63,174,1],[54,694,5237,86,5,17,6,0,287,299,47],[2,0,8,1577,1,0,0,0,81,7,0],[25,0,7,120,5517,9,50,2,199,608,0],[0,1,0,0,0,315,0,0,0,0,0],[112,8,56,1,20,0,1862,20,3,1,0],[40,28,5,8,6,0,312,5582,106,3,0],[13,9,47,47,24,0,5,15,1007,68,0],[1,0,0,0,2,0,2,0,0,78,0],[0,2,0,0,0,0,0,0,0,0,167]]"
aux_downsample_2,0.5303379308242921,0.40946479350594817,0.0,0.1208731376568833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991116117964196,0.8169290336244736,0.0,0.0,0.0,0.0,0.5451227245521135,0.454877274303512,0.8652588372940522,52137,0.8652588372940522,0.8830408910771922,0.8248146800568555,"[0.8919293384135781,0.7092233009708738,0.7780748663101604,0.9343675417661098,0.8742542450665443,0.9968354430379747,0.9303888622179549,0.9203612479474549,0.7862348178137651,0.9036144578313253,0.9881656804733728]","[[20600,325,536,77,216,70,946,99,175,50,2],[23,2922,793,2,1,13,7,1,65,291,2],[48,515,5238,71,6,22,31,2,305,435,59],[2,0,10,1566,2,0,0,1,83,12,0],[20,0,5,77,5715,2,85,4,101,528,0],[0,1,0,0,0,315,0,0,0,0,0],[55,4,46,0,17,0,1938,20,1,2,0],[33,22,5,0,10,0,324,5605,82,9,0],[8,1,42,48,37,0,9,18,971,101,0],[0,0,0,0,6,0,2,0,0,75,0],[0,2,0,0,0,0,0,0,0,0,167]]"
aux_downsample_4,0.5207889054859366,0.4258038503362707,0.0,0.09498505395384606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991116117964196,0.48140429461315826,0.0,0.0,0.0,0.0,0.6253040092978764,0.37469598890953704,0.8607323014365997,52137,0.8607323014365997,0.8723099105228066,0.8189404654219471,"[0.884438863872532,0.7106796116504854,0.8128342245989305,0.912291169451074,0.8563561266636072,0.9968354430379747,0.9174267882861258,0.9149425287356322,0.7157894736842105,0.891566265060241,0.9822485207100592]","[[20427,393,573,35,105,51,986,271,156,87,12],[29,2928,820,2,1,15,5,13,45,257,5],[103,519,5472,87,14,10,24,8,151,285,59],[2,0,24,1529,4,0,0,5,83,29,0],[24,0,3,71,5598,2,102,24,85,628,0],[0,0,0,0,0,315,1,0,0,0,0],[70,5,45,0,14,0,1911,29,1,8,0],[31,18,2,4,20,22,340,5572,54,27,0],[13,4,54,45,47,0,14,26,884,148,0],[1,0,1,0,4,0,3,0,0,74,0],[0,3,0,0,0,0,0,0,0,0,166]]"
aux_occlusion_25,0.39440421933796227,0.3595202796341662,0.0,0.03488393972951871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991116117964196,0.9299443355260465,0.0,0.0,0.0,0.0,0.5172672061019574,0.4827327936682531,0.8789727065231985,52137,0.8789727065231985,0.8871593639107669,0.8417056554057899,"[0.9111534464842397,0.7361650485436894,0.8080808080808081,0.948090692124105,0.8699709346795166,1.0,0.9054248679788767,0.922495894909688,0.7894736842105263,0.891566265060241,0.9763313609467456]","[[21044,366,527,81,156,122,580,40,144,36,0],[21,3033,796,6,0,12,4,0,66,181,1],[69,540,5440,88,2,33,9,0,247,262,42],[2,0,10,1589,2,0,0,0,65,8,0],[33,0,8,71,5687,10,51,5,143,529,0],[0,0,0,0,0,316,0,0,0,0,0],[89,7,59,0,21,0,1886,19,1,1,0],[41,31,6,5,4,0,299,5618,85,1,0],[14,7,54,51,28,0,6,17,975,83,0],[1,0,0,0,5,0,3,0,0,74,0],[0,4,0,0,0,0,0,0,0,0,165]]"
aux_occlusion_50,0.38364316110825936,0.37483753957605875,0.0,0.008805621901812605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991116117964196,0.5050495608751927,0.0,0.0,0.0,0.0,0.6208143365255793,0.37918566431583894,0.8721829027370198,52137,0.8721829027370198,0.882137781729334,0.8330110744585016,"[0.9091184620713544,0.7478155339805825,0.8046642899584076,0.9230310262529833,0.8623221661312529,0.9968354430379747,0.9111857897263562,0.8829228243021346,0.7797570850202429,0.9036144578313253,0.9822485207100592]","[[20997,574,469,56,114,103,542,11,165,61,4],[19,3081,744,4,0,6,8,0,70,179,9],[77,573,5417,109,1,37,20,0,167,280,51],[2,0,10,1547,2,0,0,0,100,15,0],[33,0,5,46,5637,13,94,7,124,578,0],[0,0,1,0,0,315,0,0,0,0,0],[110,2,35,0,16,4,1898,14,1,3,0],[49,26,5,10,1,86,385,5377,129,22,0],[18,7,46,37,29,0,12,21,963,102,0],[1,0,0,0,5,0,2,0,0,75,0],[0,3,0,0,0,0,0,0,0,0,166]]"
