mode,loss,cls,budget,quality,pre_quality,soft_retention,hard_retention,target_budget,resource_ratio,expected_params_ratio,expected_macs_ratio,q_main,q_aux,pre_q_main,pre_q_aux,pre_u_main,pre_u_aux,fusion_weight_main,fusion_weight_aux,accuracy,samples,oa,aa,kappa,class_accuracy,confusion_matrix
full,0.435554970726538,0.4236416477083161,9.46004638535669e-06,0.011903864335169632,0.0,0.0,0.0,0.800000011920929,0.8030757308006287,0.8015013337135315,0.8030757308006287,0.983589406547332,0.9141229241277574,0.0,0.0,0.0,0.0,0.517331079269056,0.4826689214025924,0.8753284615532155,52137,0.8753284615532155,0.8966052264394277,0.8371959987273491,"[0.9137080013855213,0.7582524271844661,0.7889185977421271,0.9116945107398569,0.8181122839222885,1.0,0.9539126260201632,0.9280788177339901,0.8259109311740891,0.9759036144578314,0.9881656804733728]","[[21103,164,370,58,34,108,1000,19,129,64,47],[51,3124,509,0,0,39,4,2,53,240,98],[35,717,5311,110,12,79,4,4,192,170,98],[0,0,18,1528,0,0,0,0,128,0,2],[72,0,14,49,5348,0,150,39,412,453,0],[0,0,0,0,0,316,0,0,0,0,0],[53,7,14,0,1,0,1987,20,1,0,0],[64,13,22,13,0,0,258,5652,57,11,0],[19,11,55,47,22,0,12,10,1020,39,0],[1,0,0,0,0,1,0,0,0,81,0],[0,0,2,0,0,0,0,0,0,0,167]]"
main_only,0.5352852479848649,0.5346410097699195,9.46004638535669e-06,0.0006347742409229913,0.0,0.0,0.0,0.800000011920929,0.8030757308006287,0.8015013337135315,0.8030757308006287,0.983589406547332,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.0,0.8298713006118495,52137,0.8298713006118495,0.85936339257725,0.7802702082309281,"[0.87361447869761,0.7070388349514564,0.8097147950089126,0.8890214797136038,0.7561572586813523,1.0,0.8900624099855977,0.8009852216748768,0.8105263157894737,0.927710843373494,0.9881656804733728]","[[20177,639,469,56,32,147,895,9,199,86,387],[61,2913,597,0,0,81,3,0,85,331,49],[40,675,5451,127,13,67,6,0,126,143,84],[0,0,12,1490,0,0,0,0,166,3,5],[30,6,34,14,4943,0,162,239,633,476,0],[0,0,0,0,0,316,0,0,0,0,0],[142,0,8,0,1,47,1854,17,7,7,0],[29,2,5,22,34,76,330,4878,498,216,0],[17,5,82,39,20,0,10,16,1001,45,0],[0,0,0,0,1,1,0,0,4,77,0],[0,0,2,0,0,0,0,0,0,0,167]]"
aux_only,1.325437716085233,1.3141591740245133,9.46004638535669e-06,0.01126909009525808,0.0,0.0,0.0,0.800000011920929,0.8030757308006287,0.8015013337135315,0.8030757308006287,0.0,0.9141229241277574,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.5325200912979267,52137,0.5325200912979267,0.5674836566433186,0.4133395537720935,"[0.7383529615517839,0.41019417475728154,0.017676767676767676,0.48687350835322196,0.33318035796236806,0.9968354430379747,0.5554488718194911,0.6118226600985222,0.39271255060728744,0.7228915662650602,0.9763313609467456]","[[17053,1057,70,322,241,86,567,1482,671,416,1131],[98,1690,49,151,91,22,43,40,104,457,1375],[154,2123,119,1603,63,37,181,130,491,901,930],[50,226,10,816,2,47,181,56,123,27,138],[248,27,8,170,2178,1112,2120,23,33,594,24],[0,0,0,1,0,315,0,0,0,0,0],[107,167,5,100,50,0,1157,103,277,48,69],[2004,37,0,13,0,0,270,3726,36,0,4],[63,201,23,109,3,98,115,41,485,81,16],[2,5,0,1,11,3,0,0,0,60,1],[0,1,0,0,0,0,0,3,0,0,165]]"
aux_noise,0.4410178369385195,0.42251757705457665,9.46004638535669e-06,0.01849079999722889,0.0,0.0,0.0,0.800000011920929,0.8030757308006287,0.8015013337135315,0.8030757308006287,0.983589406547332,0.925950796672476,0.0,0.0,0.0,0.0,0.5143943500753847,0.48560564860761296,0.8749832172929014,52137,0.8749832172929014,0.8950188460163772,0.8366967110296525,"[0.9147038448216142,0.7618932038834951,0.7893642305407012,0.9015513126491647,0.8139819489062261,1.0,0.9529524723955833,0.9272577996715927,0.8194331983805668,0.9759036144578314,0.9881656804733728]","[[21126,167,378,59,39,109,961,19,126,65,47],[50,3139,507,0,0,39,3,2,53,233,94],[33,732,5314,108,10,80,4,4,183,166,98],[0,0,17,1511,0,0,0,0,147,0,1],[75,1,16,49,5321,0,152,38,437,448,0],[0,0,0,0,0,316,0,0,0,0,0],[55,7,15,0,1,0,1985,17,2,1,0],[66,16,20,13,0,0,259,5647,58,11,0],[20,14,61,48,22,0,10,10,1012,38,0],[1,0,0,0,0,1,0,0,0,81,0],[0,0,2,0,0,0,0,0,0,0,167]]"
aux_noise_low,0.441039164455482,0.4232944495046953,9.46004638535669e-06,0.017735255591236294,0.0,0.0,0.0,0.800000011920929,0.8030757308006287,0.8015013337135315,0.8030757308006287,0.983589406547332,0.9178262667034759,0.0,0.0,0.0,0.0,0.5164128352935998,0.4835871647927142,0.875558624393425,52137,0.875558624393425,0.8969791687563469,0.8375077101487081,"[0.9134915136820229,0.7594660194174757,0.789809863339275,0.9099045346062052,0.8187241854061497,1.0,0.9539126260201632,0.9282430213464696,0.8291497975708502,0.9759036144578314,0.9881656804733728]","[[21098,169,373,60,35,111,993,18,129,62,48],[49,3129,511,0,0,39,3,2,56,234,97],[33,715,5317,109,13,78,4,4,193,167,99],[0,0,20,1525,0,0,0,0,129,0,2],[71,0,14,49,5352,0,150,38,411,452,0],[0,0,0,0,0,316,0,0,0,0,0],[53,7,14,0,1,0,1987,20,1,0,0],[64,15,20,13,0,0,256,5653,58,11,0],[17,11,54,47,22,0,12,11,1024,37,0],[1,0,0,0,0,1,0,0,0,81,0],[0,0,2,0,0,0,0,0,0,0,167]]"
aux_noise_mid,0.6064394203778832,0.4223699176196255,9.46004638535669e-06,0.18406004412407856,0.0,0.0,0.0,0.800000011920929,0.8030757308006287,0.8015013337135315,0.8030757308006287,0.983589406547332,0.9259596835195734,0.0,0.0,0.0,0.0,0.5143922117814751,0.48560778825510825,0.8756353453401615,52137,0.8756353453401615,0.8944461819423138,0.8375390924566626,"[0.9152234153100104,0.7628640776699029,0.7895127748068924,0.9063245823389021,0.8144408750191219,1.0,0.9539126260201632,0.9272577996715927,0.8234817813765182,0.9518072289156626,0.9940828402366864]","[[21138,166,373,60,35,112,964,19,118,64,47],[50,3143,512,0,0,37,3,2,54,222,97],[33,732,5315,108,11,77,3,4,184,164,101],[0,0,18,1519,0,0,0,0,137,0,2],[70,0,15,47,5324,0,153,39,429,460,0],[0,0,0,0,0,316,0,0,0,0,0],[55,7,12,0,0,0,1987,21,1,0,0],[64,14,20,13,0,0,262,5647,59,11,0],[20,11,60,47,21,0,12,12,1017,35,0],[1,0,1,0,0,1,0,0,1,79,0],[0,0,1,0,0,0,0,0,0,0,168]]"
aux_noise_high,0.9684102863983932,0.41912373578079476,9.46004638535669e-06,0.5492770928362698,0.0,0.0,0.0,0.800000011920929,0.8030757308006287,0.8015013337135315,0.8030757308006287,0.983589406547332,0.9402503202612107,0.0,0.0,0.0,0.0,0.5108312751741229,0.4891687253906334,0.8767286188311564,52137,0.8767286188311564,0.8916896578298776,0.8386762350730197,"[0.9209386906823692,0.7733009708737864,0.7857991681521094,0.899164677804296,0.8040385497934832,1.0,0.9457513202112338,0.9295566502463054,0.8161943319838056,0.9397590361445783,0.9940828402366864]","[[21270,183,358,61,37,121,837,17,113,59,40],[51,3186,501,0,0,38,3,2,51,195,93],[43,791,5290,105,9,72,2,3,170,147,100],[1,0,21,1507,0,0,0,0,145,0,2],[83,0,19,54,5256,0,152,40,473,460,0],[0,0,0,0,0,316,0,0,0,0,0],[72,7,11,0,0,0,1970,20,1,2,0],[70,14,20,14,0,0,248,5661,52,11,0],[22,15,69,45,22,0,10,11,1008,33,0],[1,0,1,0,0,1,0,0,2,78,0],[0,0,1,0,0,0,0,0,0,0,168]]"
aux_downsample_2,0.6034391398081139,0.47586290961192224,9.46004638535669e-06,0.12756676916937254,0.0,0.0,0.0,0.800000011920929,0.8030757308006287,0.8015013337135315,0.8030757308006287,0.983589406547332,0.8327646420815827,0.0,0.0,0.0,0.0,0.5374113175462318,0.4625886824434791,0.8577977252239293,52137,0.8577977252239293,0.8882953873000357,0.8158509545939772,"[0.8837028056806373,0.7274271844660194,0.783868092691622,0.8782816229116945,0.8225485696802814,1.0,0.9697551608257321,0.9147783251231527,0.8388663967611336,0.963855421686747,0.9881656804733728]","[[20410,125,386,41,27,114,1640,25,223,55,50],[44,2997,542,0,0,49,8,4,77,319,80],[18,599,5277,126,17,89,26,3,257,224,96],[1,0,14,1472,1,0,0,0,185,0,3],[63,0,6,30,5377,0,196,39,432,394,0],[0,0,0,0,0,316,0,0,0,0,0],[26,6,12,0,0,1,2020,14,4,0,0],[52,5,13,2,0,0,304,5571,126,16,1],[13,3,52,38,21,0,16,7,1036,49,0],[1,0,0,0,0,1,0,0,1,80,0],[0,0,2,0,0,0,0,0,0,0,167]]"
aux_downsample_4,0.6198333559531822,0.4506487517092489,9.46004638535669e-06,0.16917514602617617,0.0,0.0,0.0,0.800000011920929,0.8030757308006287,0.8015013337135315,0.8030757308006287,0.983589406547332,0.5817347072433712,0.0,0.0,0.0,0.0,0.5975957077398768,0.40240429367658664,0.8694976696012429,52137,0.8694976696012429,0.8766577054608299,0.8294214452295731,"[0.9131884308971251,0.7191747572815534,0.7776292335115864,0.8848448687350835,0.8199479883738718,1.0,0.9255880940950552,0.944991789819376,0.7781376518218623,0.891566265060241,0.9881656804733728]","[[21091,127,222,28,28,143,1132,50,119,43,113],[86,2963,510,0,1,50,4,15,58,296,137],[139,648,5235,143,29,76,15,12,158,177,100],[4,0,24,1483,1,0,0,1,159,0,4],[56,2,23,9,5360,0,154,92,497,328,16],[0,0,0,0,0,316,0,0,0,0,0],[86,5,10,0,1,3,1928,42,4,3,1],[42,2,2,6,5,1,178,5755,71,22,6],[18,9,77,50,23,0,14,21,961,59,3],[0,0,0,0,3,1,0,1,4,74,0],[0,0,2,0,0,0,0,0,0,0,167]]"
aux_occlusion_25,0.4776441110283211,0.4468315401201105,9.46004638535669e-06,0.030803110742208796,0.0,0.0,0.0,0.800000011920929,0.8030757308006287,0.8015013337135315,0.8030757308006287,0.983589406547332,0.9202414670054926,0.0,0.0,0.0,0.0,0.5158254276094876,0.4841745737103728,0.8677906285363561,52137,0.8677906285363561,0.8923393389974611,0.828008533701359,"[0.8993765154139245,0.7441747572815534,0.8101604278074866,0.8890214797136038,0.7999082147774208,1.0,0.9678348535765723,0.9274220032840722,0.8137651821862348,0.9759036144578314,0.9881656804733728]","[[20772,173,429,52,31,102,1267,15,138,59,58],[42,3066,574,0,0,35,9,4,43,244,103],[28,644,5454,84,8,80,8,2,164,166,94],[0,0,18,1490,0,0,0,0,166,0,2],[59,0,17,32,5229,0,190,37,437,536,0],[0,0,0,0,0,316,0,0,0,0,0],[31,4,15,0,0,0,2016,14,2,1,0],[61,9,15,28,0,0,248,5648,65,16,0],[16,7,72,35,21,0,19,10,1005,50,0],[1,0,0,0,0,1,0,0,0,81,0],[0,0,2,0,0,0,0,0,0,0,167]]"
