mode,loss,cls,budget,quality,pre_quality,soft_retention,hard_retention,target_budget,resource_ratio,expected_params_ratio,expected_macs_ratio,q_main,q_aux,pre_q_main,pre_q_aux,pre_u_main,pre_u_aux,fusion_weight_main,fusion_weight_aux,accuracy,samples,oa,aa,kappa,class_accuracy,confusion_matrix
full,0.31493778637933645,0.31493778637933645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538206176660226,0.43576283137316824,0.0,0.0,0.0,0.0,0.5293593910019077,0.47064060800005153,0.8930126397759748,52137,0.8930126397759748,0.8864755207020845,0.8597269772913898,"[0.919856252164877,0.8351941747572815,0.7488116458704694,0.9230310262529833,0.9265718219366682,0.9968354430379747,0.9116658665386462,0.9417077175697866,0.854251012145749,0.7228915662650602,0.9704142011834319]","[[21245,329,498,66,144,87,386,104,215,22,0],[20,3441,455,2,11,16,2,4,121,48,0],[71,966,5041,37,90,6,1,1,346,130,43],[0,0,6,1547,7,0,0,0,113,3,0],[32,14,21,20,6057,0,32,11,105,245,0],[0,0,1,0,0,315,0,0,0,0,0],[70,17,21,0,20,0,1899,36,20,0,0],[26,15,0,0,3,0,123,5735,188,0,0],[9,8,8,41,37,0,3,12,1055,62,0],[1,1,0,0,19,0,1,0,1,60,0],[0,5,0,0,0,0,0,0,0,0,164]]"
main_only,0.912466591170664,0.912466591170664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538206176660226,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.0,0.7441740031071984,52137,0.7441740031071984,0.7099227907219556,0.6748754633307689,"[0.7729476965708347,0.7689320388349514,0.7828282828282829,0.9176610978520287,0.8127581459385039,0.015822784810126583,0.7950072011521844,0.45451559934318553,0.8137651821862348,0.6867469879518072,0.9881656804733728]","[[17852,2308,2284,33,36,5,277,41,197,44,19],[19,3168,723,2,2,0,0,0,118,74,14],[39,801,5270,150,69,0,1,0,246,104,52],[0,0,20,1538,23,0,0,0,80,8,7],[11,30,38,43,5313,0,37,580,215,270,0],[88,3,3,0,0,5,217,0,0,0,0],[322,4,24,1,1,2,1656,37,29,7,0],[50,22,24,55,451,0,361,2768,646,1713,0],[6,13,24,52,74,1,1,14,1005,45,0],[0,3,0,0,19,0,0,0,4,57,0],[0,2,0,0,0,0,0,0,0,0,167]]"
aux_only,3.35357784387612,3.35357784387612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43576283137316824,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.2755432802040777,52137,0.2755432802040777,0.40370537787594946,0.20276545888586572,"[0.028966054728091443,0.23810679611650484,0.0932857991681521,0.013723150357995227,0.729845494875325,0.9968354430379747,0.26452232357177147,0.9361247947454844,0.5489878542510122,0.5903614457831325,0.0]","[[669,1242,197,231,749,59,300,16630,2563,456,0],[7,981,99,17,127,19,1201,50,1106,513,0],[44,530,628,51,193,24,1782,97,2543,840,0],[9,199,129,23,5,91,519,43,646,12,0],[115,160,9,0,4771,840,65,80,103,394,0],[0,1,0,0,0,315,0,0,0,0,0],[137,61,28,6,549,0,551,85,584,82,0],[96,35,16,19,0,0,33,5701,190,0,0],[8,17,3,5,5,95,290,54,678,80,0],[1,3,3,0,20,1,2,1,3,49,0],[0,35,0,0,0,0,0,5,98,31,0]]"
aux_noise,0.3135451156626221,0.3135451156626221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538206176660226,0.435372839270759,0.0,0.0,0.0,0.0,0.5294582752705005,0.47054172441339615,0.8931852619061319,52137,0.8931852619061319,0.8853964939476501,0.8599092083702624,"[0.9211551783858677,0.8385922330097088,0.7453951277480689,0.9194510739856802,0.926418846565703,0.9968354430379747,0.9073451752280365,0.9425287356321839,0.854251012145749,0.7228915662650602,0.9644970414201184]","[[21275,345,493,65,146,92,359,97,206,18,0],[21,3455,441,2,10,16,2,4,122,47,0],[71,996,5018,39,87,5,0,2,351,125,38],[0,0,6,1541,8,0,0,0,118,3,0],[33,15,18,19,6056,0,31,10,109,246,0],[0,0,1,0,0,315,0,0,0,0,0],[73,19,22,0,22,0,1890,36,21,0,0],[25,15,0,0,2,0,120,5740,188,0,0],[9,7,7,37,40,0,3,13,1055,64,0],[1,2,0,0,18,0,1,0,1,60,0],[0,6,0,0,0,0,0,0,0,0,163]]"
aux_noise_low,0.31459394984847144,0.31459394984847144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538206176660226,0.4356832872667281,0.0,0.0,0.0,0.0,0.529379703242684,0.4706202965509627,0.8929359188292384,52137,0.8929359188292384,0.8862565628671923,0.8596339533814383,"[0.919856252164877,0.8361650485436893,0.7479203802733214,0.9200477326968973,0.9267247973076335,0.9968354430379747,0.9107057129140662,0.942200328407225,0.8550607287449393,0.7228915662650602,0.9704142011834319]","[[21245,328,500,66,146,89,381,101,218,22,0],[20,3445,447,2,10,16,2,4,125,49,0],[70,974,5035,36,89,6,1,1,351,127,42],[0,0,7,1542,8,0,0,0,117,2,0],[30,15,21,19,6058,0,33,11,107,243,0],[0,0,1,0,0,315,0,0,0,0,0],[69,18,22,0,20,0,1897,38,19,0,0],[25,15,0,0,3,0,122,5738,187,0,0],[9,8,8,41,37,0,3,12,1056,61,0],[1,2,0,0,18,0,1,0,1,60,0],[0,5,0,0,0,0,0,0,0,0,164]]"
aux_noise_mid,0.3137806020454874,0.3137806020454874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538206176660226,0.435377381438044,0.0,0.0,0.0,0.0,0.5294571866543184,0.4705428130061419,0.8937606690066555,52137,0.8937606690066555,0.8830991630837793,0.8606481902718395,"[0.9220644267405611,0.8390776699029127,0.7477718360071302,0.9212410501193318,0.9251950435979808,0.9968354430379747,0.9087854056649064,0.9417077175697866,0.854251012145749,0.6867469879518072,0.9704142011834319]","[[21296,339,479,66,144,88,354,97,213,20,0],[21,3457,440,2,11,16,2,4,118,49,0],[69,993,5034,39,84,6,1,0,345,122,39],[0,0,5,1544,8,0,0,0,116,3,0],[32,17,21,21,6048,0,32,11,112,243,0],[0,0,1,0,0,315,0,0,0,0,0],[69,20,21,0,22,0,1893,37,21,0,0],[24,15,0,0,3,0,122,5735,191,0,0],[10,8,7,41,37,0,3,12,1055,62,0],[1,2,2,0,19,0,1,0,1,57,0],[0,5,0,0,0,0,0,0,0,0,164]]"
aux_noise_high,0.3114403247553732,0.3114403247553732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538206176660226,0.4338948587945812,0.0,0.0,0.0,0.0,0.5298305622948797,0.4701694364875791,0.8939524713734968,52137,0.8939524713734968,0.8862055466482578,0.8607615272838669,"[0.9256581226186352,0.8463592233009709,0.7403446226975638,0.9194510739856802,0.9247361174850849,0.9968354430379747,0.8910225636101776,0.9397372742200328,0.8526315789473684,0.7469879518072289,0.9644970414201184]","[[21379,359,474,63,138,95,275,86,204,23,0],[20,3487,413,2,9,16,1,3,124,45,0],[69,1042,4984,44,84,5,0,1,347,121,35],[0,0,6,1541,9,0,0,0,116,4,0],[30,17,22,20,6045,1,26,9,118,249,0],[0,0,1,0,0,315,0,0,0,0,0],[98,22,18,0,27,0,1856,36,26,0,0],[29,15,0,0,1,0,121,5723,200,1,0],[10,11,8,36,41,0,2,13,1053,61,0],[1,2,0,0,16,0,1,0,1,62,0],[0,6,0,0,0,0,0,0,0,0,163]]"
aux_downsample_2,0.3384387741363334,0.3384387741363334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538206176660226,0.4498174131902061,0.0,0.0,0.0,0.0,0.5258502593605131,0.4741497405663201,0.8868749640370562,52137,0.8868749640370562,0.8797389835779525,0.8519543441089841,"[0.910547280914444,0.8067961165048544,0.7407902554961379,0.9009546539379475,0.9273366987914946,0.9968354430379747,0.9179068650984158,0.9540229885057471,0.8647773279352227,0.6867469879518072,0.9704142011834319]","[[21030,198,479,55,115,65,603,253,279,19,0],[35,3324,518,0,12,15,2,14,147,53,0],[110,848,4987,47,119,4,4,2,422,139,50],[0,0,4,1510,6,0,0,1,152,3,0],[29,6,9,17,6062,0,32,41,107,234,0],[0,0,1,0,0,315,0,0,0,0,0],[53,9,24,0,19,0,1912,49,17,0,0],[15,7,0,0,1,0,108,5810,149,0,0],[9,1,5,30,41,0,6,20,1068,55,0],[1,2,0,0,21,0,1,0,1,57,0],[0,5,0,0,0,0,0,0,0,0,164]]"
aux_downsample_4,0.47047908466871563,0.47047908466871563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538206176660226,0.46171377588578716,0.0,0.0,0.0,0.0,0.5228786189500286,0.47712137957634637,0.8527916834493737,52137,0.8527916834493737,0.8435381045957988,0.808412388857972,"[0.8678559057845514,0.7575242718446602,0.7345513963161022,0.8591885441527446,0.8965886492274744,0.9841772151898734,0.8622179548727796,0.9433497536945813,0.8,0.6385542168674698,0.9349112426035503]","[[20044,170,665,8,97,119,955,722,306,9,1],[127,3121,584,0,15,17,2,43,159,45,7],[294,740,4945,55,89,2,3,44,440,59,61],[0,0,15,1440,17,0,0,54,142,6,2],[15,7,14,24,5861,0,32,148,210,226,0],[0,2,3,0,0,311,0,0,0,0,0],[85,11,21,0,19,0,1796,124,25,2,0],[20,6,0,3,17,0,161,5745,136,2,0],[15,4,10,33,104,0,7,43,988,31,0],[0,2,2,0,20,0,1,1,4,53,0],[2,5,0,2,0,0,0,2,0,0,158]]"
aux_occlusion_25,0.3156033284720813,0.3156033284720813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538206176660226,0.4336361343470739,0.0,0.0,0.0,0.0,0.5299126964253158,0.4700873048551032,0.895256727468017,52137,0.895256727468017,0.8785277255782918,0.8620887870446294,"[0.9364825077935574,0.8172330097087379,0.7410873440285205,0.9069212410501193,0.932078935291418,0.990506329113924,0.8838214114258282,0.9218390804597701,0.8825910931174089,0.6867469879518072,0.9644970414201184]","[[21629,264,333,57,107,23,306,63,303,11,0],[24,3367,516,1,6,7,2,0,157,38,2],[114,867,4989,110,49,5,0,1,475,85,37],[1,0,3,1520,4,0,0,0,148,0,0],[39,11,12,28,6093,0,26,18,141,169,0],[2,0,1,0,0,313,0,0,0,0,0],[104,9,27,0,21,0,1841,48,33,0,0],[35,12,48,0,52,0,70,5614,255,4,0],[12,5,4,23,53,0,0,8,1090,40,0],[1,2,0,0,19,0,0,0,4,57,0],[0,6,0,0,0,0,0,0,0,0,163]]"
