mode,loss,cls,budget,quality,pre_quality,soft_retention,hard_retention,target_budget,resource_ratio,expected_params_ratio,expected_macs_ratio,q_main,q_aux,pre_q_main,pre_q_aux,pre_u_main,pre_u_aux,fusion_weight_main,fusion_weight_aux,accuracy,samples,oa,aa,kappa,class_accuracy,confusion_matrix
full,0.3861409745311464,0.3861409745311464,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.999998152256012,0.999998152256012,0.5273759930409613,0.4559894337451899,0.0,0.0,0.0,0.0,0.5177646239602022,0.48223537634561214,0.8791261484166715,52137,0.8791261484166715,0.8781252534316984,0.84138802510839,"[0.9271302390024246,0.795873786407767,0.6784016636957814,0.9337708830548926,0.9020957625822242,1.0,0.9073451752280365,0.9305418719211823,0.8186234817813766,0.7951807228915663,0.9704142011834319]","[[21413,149,276,32,201,261,538,106,89,31,0],[83,3279,510,0,0,24,4,15,69,134,2],[113,1035,4567,18,36,24,7,5,495,391,41],[4,0,25,1565,1,0,0,11,70,0,0],[21,16,3,51,5897,41,92,13,172,231,0],[0,0,0,0,0,316,0,0,0,0,0],[113,6,3,0,8,2,1890,58,3,0,0],[30,17,0,0,38,0,286,5667,50,2,0],[22,9,23,60,45,0,11,19,1011,35,0],[1,1,0,0,13,1,1,0,0,66,0],[2,1,2,0,0,0,0,0,0,0,164]]"
main_only,0.8096093921952604,0.8096093921952604,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.999998152256012,0.999998152256012,0.5273759930409613,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.0,0.7325891401499894,52137,0.7325891401499894,0.655597830993142,0.6557528943696579,"[0.8309231035677174,0.7808252427184466,0.6691919191919192,0.9379474940334129,0.9017898118402937,0.0,0.8694191070571291,0.15041050903119868,0.7214574898785425,0.3614457831325301,0.9881656804733728]","[[19191,1848,1156,30,84,1,578,2,130,56,20],[108,3217,543,1,12,0,1,0,93,123,22],[138,1044,4505,143,245,0,5,0,381,229,42],[0,2,31,1572,30,0,0,0,39,0,2],[14,18,3,78,5895,0,200,158,95,76,0],[74,0,0,0,0,0,242,0,0,0,0],[253,1,3,0,1,0,1811,8,5,1,0],[45,11,71,428,2518,0,1290,916,380,431,0],[20,11,28,120,100,0,15,29,891,21,0],[0,3,0,0,44,0,5,0,1,30,0],[0,0,2,0,0,0,0,0,0,0,167]]"
aux_only,3.2670510824620616,3.2670510824620616,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.999998152256012,0.999998152256012,0.0,0.4559894337451899,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.2328672535819092,52137,0.2328672535819092,0.3846924038527263,0.1619751648926758,"[0.014331485971596813,0.1628640776699029,0.2601010101010101,0.003579952267303103,0.3215542297690072,0.990506329113924,0.12289966394623139,0.958456486042693,0.6566801619433198,0.7228915662650602,0.01775147928994083]","[[331,906,547,51,795,213,78,17789,1629,749,8],[13,671,623,9,5,43,758,230,463,1029,276],[14,441,1751,10,53,39,1255,274,1549,1219,127],[5,169,146,6,2,88,266,114,799,80,1],[6,239,7,0,2102,2888,283,74,144,794,0],[0,0,0,0,0,313,0,0,0,3,0],[63,37,20,0,266,160,256,176,945,151,9],[44,8,0,1,10,0,3,5837,186,1,0],[0,40,19,0,5,97,86,85,811,85,7],[1,2,2,0,1,11,2,1,3,60,0],[0,148,1,0,0,0,4,11,1,1,3]]"
aux_noise,0.3865437018572238,0.3865437018572238,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.999998152256012,0.999998152256012,0.5273759930409613,0.456210534931393,0.0,0.0,0.0,0.0,0.5177108322539213,0.4822891688567278,0.8788192646297255,52137,0.8788192646297255,0.8771325555889774,0.8409134982458896,"[0.9282992726013163,0.8,0.6730540701128936,0.9307875894988067,0.9030136148080159,1.0,0.8972635621699472,0.9293924466338259,0.8210526315789474,0.7951807228915663,0.9704142011834319]","[[21440,155,270,32,199,269,503,101,94,33,0],[87,3296,495,0,0,24,2,15,70,129,2],[119,1062,4531,19,36,24,4,4,500,392,41],[4,0,24,1560,2,0,0,11,75,0,0],[21,16,3,52,5903,39,86,14,176,227,0],[0,0,0,0,0,316,0,0,0,0,0],[127,6,3,0,8,8,1869,58,4,0,0],[30,18,0,0,45,0,283,5660,54,0,0],[25,8,22,56,43,0,11,21,1014,35,0],[1,1,0,0,12,1,1,0,1,66,0],[2,1,2,0,0,0,0,0,0,0,164]]"
aux_noise_low,0.38628254453113664,0.38628254453113664,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.999998152256012,0.999998152256012,0.5273759930409613,0.4560435930208779,0.0,0.0,0.0,0.0,0.5177514533663718,0.4822485464638583,0.8790686077066191,52137,0.8790686077066191,0.8770634028173453,0.8412845143066788,"[0.9276065119501212,0.7970873786407767,0.6764705882352942,0.9343675417661098,0.9017898118402937,1.0,0.9068650984157465,0.9297208538587849,0.8202429149797571,0.7831325301204819,0.9704142011834319]","[[21424,148,277,33,200,259,530,106,87,32,0],[84,3284,503,0,0,24,3,15,72,133,2],[122,1041,4554,16,36,22,5,4,497,394,41],[4,0,24,1566,2,0,0,11,69,0,0],[20,16,3,51,5895,41,91,14,177,229,0],[0,0,0,0,0,316,0,0,0,0,0],[115,6,3,0,8,1,1889,58,3,0,0],[30,17,0,0,41,0,287,5662,51,2,0],[22,8,23,59,44,0,11,19,1013,36,0],[1,1,0,0,13,1,1,0,1,65,0],[2,1,2,0,0,0,0,0,0,0,164]]"
aux_noise_mid,0.3864046239932017,0.3864046239932017,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.999998152256012,0.999998152256012,0.5273759930409613,0.4562294828880779,0.0,0.0,0.0,0.0,0.5177061340704469,0.4822938668704324,0.8789343460498302,52137,0.8789343460498302,0.8760301385467109,0.8410644677795919,"[0.9286889504676135,0.7995145631067961,0.672756981580511,0.9289976133651552,0.9025546886951201,1.0,0.900144023043687,0.9298850574712644,0.8202429149797571,0.7831325301204819,0.9704142011834319]","[[21449,154,267,34,198,263,504,101,94,32,0],[87,3294,496,0,0,23,2,15,72,130,1],[115,1067,4529,16,36,24,5,4,500,396,40],[5,0,26,1557,4,0,0,11,73,0,0],[22,16,3,52,5900,43,86,12,173,230,0],[0,0,0,0,0,316,0,0,0,0,0],[123,6,3,0,7,8,1875,57,4,0,0],[30,17,0,0,43,0,284,5663,50,3,0],[23,10,21,59,44,0,11,20,1013,34,0],[1,1,0,0,14,1,1,0,0,65,0],[2,1,2,0,0,0,0,0,0,0,164]]"
aux_noise_high,0.3879486824807335,0.3879486824807335,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.999998152256012,0.999998152256012,0.5273759930409613,0.4567248448182193,0.0,0.0,0.0,0.0,0.5175861401184497,0.4824138596151774,0.8772656654583117,52137,0.8772656654583117,0.8722569236122283,0.8387721006287013,"[0.9302909594735019,0.8077669902912621,0.6660724896019014,0.9242243436754176,0.9008719596145021,1.0,0.8684589534325492,0.9257799671592775,0.8178137651821862,0.7831325301204819,0.9704142011834319]","[[21486,166,292,35,188,282,435,91,91,30,0],[85,3328,479,0,0,24,1,15,71,117,0],[113,1137,4484,16,33,24,2,4,501,383,35],[4,0,25,1549,2,0,0,11,85,0,0],[25,16,3,52,5889,47,73,10,186,236,0],[0,0,0,0,0,316,0,0,0,0,0],[158,7,2,0,8,36,1809,59,4,0,0],[32,17,0,0,58,0,284,5638,58,3,0],[22,11,24,62,43,0,10,19,1010,34,0],[1,2,0,0,12,1,1,0,1,65,0],[2,1,2,0,0,0,0,0,0,0,164]]"
aux_downsample_2,0.3989941877294863,0.3989941877294863,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.999998152256012,0.999998152256012,0.5273759930409613,0.46137310453138675,0.0,0.0,0.0,0.0,0.5164172316634673,0.48358276844628284,0.874772234689376,52137,0.874772234689376,0.8669071428448212,0.8357402870734469,"[0.9227138898510565,0.7645631067961165,0.6687462863933452,0.9063245823389021,0.9054612207434602,1.0,0.9227076332213154,0.9407224958949096,0.8234817813765182,0.7108433734939759,0.9704142011834319]","[[21311,80,211,28,198,191,758,200,102,17,0],[104,3150,554,0,0,21,6,31,91,160,3],[191,908,4502,24,59,25,17,12,553,396,45],[6,0,17,1519,3,0,1,27,103,0,0],[17,12,3,51,5919,37,110,30,157,201,0],[0,0,0,0,0,316,0,0,0,0,0],[81,3,4,0,6,0,1922,64,3,0,0],[26,12,0,0,30,0,255,5729,38,0,0],[22,6,16,50,45,0,19,28,1017,32,0],[1,1,0,0,18,1,1,0,2,59,0],[2,1,2,0,0,0,0,0,0,0,164]]"
aux_downsample_4,0.4809682364030476,0.4809682364030476,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.999998152256012,0.999998152256012,0.5273759930409613,0.4644373931683923,0.0,0.0,0.0,0.0,0.5156439533344445,0.48435604814203864,0.8558797015555172,52137,0.8558797015555172,0.8380309798501554,0.811436937442442,"[0.89721163837894,0.7504854368932039,0.6867201426024956,0.8705250596658711,0.8791494569374331,0.9936708860759493,0.9025444071051368,0.9376026272577996,0.697165991902834,0.6506024096385542,0.9526627218934911]","[[20722,84,321,5,148,276,1022,416,86,16,0],[161,3092,587,0,15,19,8,35,87,111,5],[338,882,4623,41,124,25,18,29,378,225,49],[4,0,40,1459,28,0,1,63,81,0,0],[12,4,6,58,5747,53,117,99,207,234,0],[1,1,0,0,0,314,0,0,0,0,0],[75,5,6,0,3,22,1880,91,1,0,0],[26,6,0,0,49,0,273,5710,25,1,0],[18,16,41,81,115,0,25,52,861,26,0],[0,1,0,1,12,4,3,1,7,54,0],[6,0,2,0,0,0,0,0,0,0,161]]"
aux_occlusion_25,0.3620748270358672,0.3620748270358672,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.999998152256012,0.999998152256012,0.5273759930409613,0.45484386999231147,0.0,0.0,0.0,0.0,0.5180636935841628,0.4819363054909631,0.8869325047471086,52137,0.8869325047471086,0.8572069735596749,0.8507107097495402,"[0.9439729823346034,0.795873786407767,0.6650326797385621,0.8979713603818615,0.9256539697108765,0.9968354430379747,0.8780604896783485,0.9362889983579639,0.8704453441295547,0.5783132530120482,0.9408284023668639]","[[21802,112,187,28,183,116,458,56,146,8,0],[116,3279,505,0,6,14,1,2,120,77,0],[200,1012,4477,47,58,18,3,3,648,237,29],[6,0,10,1505,3,0,0,5,147,0,0],[29,10,3,51,6051,28,72,14,152,127,0],[1,0,0,0,0,315,0,0,0,0,0],[171,4,3,0,8,0,1829,62,6,0,0],[37,14,0,0,32,0,217,5702,88,0,0],[29,7,10,35,44,0,5,22,1075,8,0],[2,2,0,0,25,0,1,0,5,48,0],[2,3,5,0,0,0,0,0,0,0,159]]"
