mode,loss,cls,budget,quality,pre_quality,soft_retention,hard_retention,target_budget,resource_ratio,expected_params_ratio,expected_macs_ratio,q_main,q_aux,pre_q_main,pre_q_aux,pre_u_main,pre_u_aux,fusion_weight_main,fusion_weight_aux,accuracy,samples,oa,aa,kappa,class_accuracy,confusion_matrix
full,0.4691766176515599,0.4539775875951976,9.516227692074608e-06,0.015189511984735907,0.0,0.0,0.0,0.800000011920929,0.8030848503112793,0.8015182018280029,0.8030848503112793,0.9907815053835812,0.8949868374638461,0.0,0.0,0.0,0.0,0.5238968238063321,0.4761031750727297,0.8642039242764256,52137,0.8642039242764256,0.8831257310429161,0.8243027838047691,"[0.8733979909941115,0.8669902912621359,0.6766191325014854,0.8735083532219571,0.8939880679210647,1.0,0.9116658665386462,0.9733990147783251,0.8728744939271255,0.8192771084337349,0.9526627218934911]","[[20172,640,304,53,234,204,1043,164,220,62,0],[12,3572,364,1,1,17,1,9,87,56,0],[27,1227,4555,9,16,33,0,1,508,325,31],[2,0,18,1464,1,0,0,0,189,2,0],[16,4,4,66,5844,0,38,41,309,215,0],[0,0,0,0,0,316,0,0,0,0,0],[26,31,5,2,24,0,1899,90,6,0,0],[13,23,0,10,0,0,75,5928,40,1,0],[12,18,4,27,32,0,7,22,1078,35,0],[1,2,0,0,10,0,0,0,2,68,0],[0,7,1,0,0,0,0,0,0,0,161]]"
main_only,0.662732628889128,0.6624643165291432,9.516227692074608e-06,0.0002587820922651071,0.0,0.0,0.0,0.800000011920929,0.8030848503112793,0.8015182018280029,0.8030848503112793,0.9907815053835812,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.0,0.7839154535166964,52137,0.7839154535166964,0.818380967583998,0.7270092828783469,"[0.7758919293384136,0.7893203883495146,0.6660724896019014,0.7971360381861575,0.7639590026005814,1.0,0.7892462794047047,0.9226600985221675,0.8825910931174089,0.6626506024096386,0.9526627218934911]","[[17920,1890,531,16,88,1265,812,100,458,16,0],[7,3252,431,0,1,49,1,0,305,74,0],[26,964,4484,54,40,30,3,1,885,216,29],[0,0,12,1336,0,0,0,6,322,0,0],[11,6,1,11,4994,0,61,970,358,125,0],[0,0,0,0,0,316,0,0,0,0,0],[16,1,3,0,1,292,1644,106,18,2,0],[8,14,0,4,17,85,85,5619,219,39,0],[8,2,4,10,23,3,2,89,1090,4,0],[0,1,0,0,16,0,2,0,9,55,0],[0,6,2,0,0,0,0,0,0,0,161]]"
aux_only,1.4770988618842587,1.4621585967303543,9.516227692074608e-06,0.014930729919769702,0.0,0.0,0.0,0.800000011920929,0.8030848503112793,0.8015182018280029,0.8030848503112793,0.0,0.8949868374638461,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.39806663214224064,52137,0.39806663214224064,0.5365965677978898,0.3155084140713304,"[0.1551783858676827,0.8597087378640776,0.19385026737967914,0.6294749403341289,0.7364234358268319,0.9588607594936709,0.15218434949591936,0.8729064039408867,0.31659919028340083,0.5421686746987951,0.48520710059171596]","[[3584,2544,96,1019,949,6,45,13920,501,432,0],[75,3542,173,138,10,2,13,40,41,86,0],[68,3372,1305,729,85,17,86,68,263,734,5],[31,355,71,1055,1,5,12,39,101,6,0],[27,107,5,285,4814,463,38,31,119,648,0],[0,1,0,7,1,303,0,0,0,4,0],[51,202,60,293,466,0,317,89,436,169,0],[523,37,2,82,11,0,53,5316,65,1,0],[28,265,57,267,9,39,30,46,391,103,0],[0,16,3,1,13,0,1,2,2,45,0],[1,82,0,0,0,0,0,4,0,0,82]]"
aux_noise,0.46689270770558694,0.45298848604114234,9.516227692074608e-06,0.013894703457666835,0.0,0.0,0.0,0.800000011920929,0.8030848503112793,0.8015182018280029,0.8030848503112793,0.9907815053835812,0.9052943437848547,0.0,0.0,0.0,0.0,0.5213399468225629,0.4786600545676062,0.8645108080633715,52137,0.8645108080633715,0.8814721150902436,0.8246670624552103,"[0.8742639418081053,0.8674757281553398,0.6749851455733809,0.8776849642004774,0.8927642649533425,1.0,0.9126260201632261,0.9740558292282431,0.8744939271255061,0.7951807228915663,0.9526627218934911]","[[20192,642,301,54,234,206,1031,163,211,62,0],[12,3574,364,1,1,17,1,9,87,54,0],[30,1248,4544,10,16,34,1,1,494,323,31],[2,0,18,1471,1,0,0,0,182,2,0],[17,5,4,64,5836,0,36,36,321,218,0],[0,0,0,0,0,316,0,0,0,0,0],[22,33,6,2,23,0,1901,90,6,0,0],[13,22,0,9,0,0,74,5932,38,2,0],[12,18,5,27,31,0,7,24,1080,31,0],[1,2,0,0,10,0,0,0,4,66,0],[0,7,1,0,0,0,0,0,0,0,161]]"
aux_noise_low,0.4669529252628999,0.45362101331755317,9.516227692074608e-06,0.013322393879757975,0.0,0.0,0.0,0.800000011920929,0.8030848503112793,0.8015182018280029,0.8030848503112793,0.9907815053835812,0.898056538339099,0.0,0.0,0.0,0.0,0.5231362348216805,0.4768637659231346,0.8647217906668968,52137,0.8647217906668968,0.8838374862750012,0.8249509470912649,"[0.8737010737790094,0.866504854368932,0.6773618538324421,0.8752983293556086,0.8944469940339606,1.0,0.9126260201632261,0.9742200328407224,0.8761133603238866,0.8192771084337349,0.9526627218934911]","[[20179,650,298,54,238,204,1036,163,217,57,0],[12,3570,366,1,1,17,1,9,87,56,0],[26,1232,4560,9,16,33,0,1,500,323,32],[2,0,20,1467,1,0,0,0,185,1,0],[18,4,4,66,5847,0,36,39,308,215,0],[0,0,0,0,0,316,0,0,0,0,0],[26,31,4,2,24,0,1901,89,6,0,0],[13,22,0,9,0,0,73,5933,39,1,0],[12,18,4,27,31,0,7,22,1082,32,0],[1,2,0,0,10,0,0,0,2,68,0],[0,7,1,0,0,0,0,0,0,0,161]]"
aux_noise_mid,0.6201594298554731,0.4530927363214292,9.516227692074608e-06,0.16705717561818273,0.0,0.0,0.0,0.800000011920929,0.8030848503112793,0.8015182018280029,0.8030848503112793,0.9907815053835812,0.9052754020810728,0.0,0.0,0.0,0.0,0.5213446716438959,0.47865533014869066,0.8642998254598462,52137,0.8642998254598462,0.882174201552579,0.8243955980668135,"[0.8740474541046068,0.8691747572815534,0.6736482471776589,0.8770883054892601,0.8933761664372036,1.0,0.9087854056649064,0.9742200328407224,0.8736842105263158,0.8072289156626506,0.9526627218934911]","[[20187,652,294,55,235,205,1032,161,214,61,0],[13,3581,362,0,1,17,1,8,86,51,0],[28,1251,4535,11,17,34,0,1,502,319,34],[2,0,17,1470,1,0,0,0,184,2,0],[17,4,4,65,5840,0,35,39,320,213,0],[0,0,0,0,0,316,0,0,0,0,0],[26,35,4,2,24,0,1893,92,7,0,0],[14,23,0,10,0,0,71,5933,38,1,0],[12,20,4,28,33,0,6,21,1079,32,0],[1,2,0,0,11,0,0,0,2,67,0],[0,7,1,0,0,0,0,0,0,0,161]]"
aux_noise_high,0.97344178295173,0.45161631608945874,9.516227692074608e-06,0.521815949984464,0.0,0.0,0.0,0.800000011920929,0.8030848503112793,0.8015182018280029,0.8030848503112793,0.9907815053835812,0.9213516419235727,0.0,0.0,0.0,0.0,0.5173441455659044,0.48265585403167827,0.8642231045131097,52137,0.8642231045131097,0.8815703381709897,0.8242268644490596,"[0.8763422237616904,0.8764563106796116,0.666369578134284,0.8758949880668258,0.8886339299372801,1.0,0.9035045607297167,0.9748768472906404,0.8753036437246964,0.8072289156626506,0.9526627218934911]","[[20240,674,283,59,227,217,973,158,204,61,0],[13,3611,350,1,0,17,1,8,76,43,0],[26,1337,4486,17,15,34,0,1,492,291,33],[2,0,17,1468,1,0,0,0,186,2,0],[16,5,5,68,5809,0,35,36,341,222,0],[0,0,0,0,0,316,0,0,0,0,0],[25,40,4,2,27,0,1882,95,8,0,0],[12,24,0,9,0,0,71,5937,34,3,0],[12,19,5,34,33,0,7,22,1081,22,0],[1,2,1,0,8,0,0,0,4,67,0],[0,7,1,0,0,0,0,0,0,0,161]]"
aux_downsample_2,0.5847772227358959,0.46973881141912666,9.516227692074608e-06,0.1150288906388616,0.0,0.0,0.0,0.800000011920929,0.8030848503112793,0.8015182018280029,0.8030848503112793,0.9907815053835812,0.8234671380508114,0.0,0.0,0.0,0.0,0.5415892755600906,0.4584107231492014,0.8572031378867215,52137,0.8572031378867215,0.8689000072774827,0.8156488485637913,"[0.8658209213716661,0.845873786407767,0.6616161616161617,0.8293556085918854,0.9001070827596757,1.0,0.915026404224676,0.9768472906403941,0.8817813765182186,0.7228915662650602,0.9585798816568047]","[[19997,481,265,27,226,159,1438,167,285,51,0],[18,3485,374,0,1,18,1,14,121,88,0],[34,1101,4454,7,24,39,8,3,658,364,40],[1,0,14,1390,1,0,0,0,269,1,0],[18,1,3,50,5884,0,43,57,288,193,0],[0,0,0,0,0,316,0,0,0,0,0],[25,20,6,0,19,0,1906,99,8,0,0],[15,15,0,0,0,0,63,5949,41,7,0],[9,11,5,15,48,0,10,23,1089,25,0],[1,2,0,0,15,0,1,0,4,60,0],[0,6,1,0,0,0,0,0,0,0,162]]"
aux_downsample_4,0.7032016321359644,0.4820559236943055,9.516227692074608e-06,0.22113618774488783,0.0,0.0,0.0,0.800000011920929,0.8030848503112793,0.8015182018280029,0.8030848503112793,0.9907815053835812,0.6694249994477627,0.0,0.0,0.0,0.0,0.578573922942724,0.4214260767308835,0.8568770738630914,52137,0.8568770738630914,0.8571980654345374,0.8147780889204376,"[0.867639418081053,0.8400485436893204,0.6929590017825312,0.8174224343675418,0.8825149150986691,1.0,0.8924627940470475,0.9688013136288999,0.8761133603238866,0.6385542168674698,0.9526627218934911]","[[20039,637,262,11,139,176,1280,227,312,10,3],[41,3461,386,0,0,20,2,17,145,48,0],[88,1195,4665,16,33,18,5,11,543,120,38],[4,0,43,1370,3,0,0,5,251,0,0],[19,16,5,27,5769,0,43,136,358,154,10],[0,0,0,0,0,316,0,0,0,0,0],[39,32,4,0,19,3,1859,117,9,1,0],[15,13,0,2,6,1,91,5900,57,5,0],[11,20,17,18,41,0,10,27,1082,9,0],[1,8,1,0,15,0,1,0,4,53,0],[0,6,1,0,0,0,0,1,0,0,161]]"
aux_occlusion_25,0.46362338635521666,0.4448337373592309,9.516227692074608e-06,0.018780129892343192,0.0,0.0,0.0,0.800000011920929,0.8030848503112793,0.8015182018280029,0.8030848503112793,0.9907815053835812,0.8745811082099627,0.0,0.0,0.0,0.0,0.5289904520243974,0.4710095484511868,0.8644724475900033,52137,0.8644724475900033,0.8809870435455426,0.8247565557737313,"[0.8687651541392449,0.862378640776699,0.7015745692216281,0.8323389021479713,0.9020957625822242,1.0,0.9083053288526164,0.9743842364532019,0.8631578947368421,0.8192771084337349,0.9585798816568047]","[[20065,575,337,29,203,185,1245,156,277,24,0],[12,3553,386,0,0,18,1,7,87,56,0],[30,1146,4723,8,6,44,5,1,459,278,32],[2,0,26,1395,3,0,0,0,249,1,0],[17,2,5,40,5897,0,46,35,259,236,0],[0,0,0,0,0,316,0,0,0,0,0],[20,33,8,1,22,0,1892,98,8,1,0],[12,20,0,8,0,0,68,5934,46,2,0],[10,17,9,17,54,0,7,20,1066,35,0],[1,2,0,0,10,0,1,0,1,68,0],[0,6,1,0,0,0,0,0,0,0,162]]"
