mode,loss,cls,budget,quality,pre_quality,soft_retention,hard_retention,target_budget,resource_ratio,expected_params_ratio,expected_macs_ratio,q_main,q_aux,pre_q_main,pre_q_aux,pre_u_main,pre_u_aux,fusion_weight_main,fusion_weight_aux,accuracy,samples,oa,aa,kappa,class_accuracy,confusion_matrix
full,0.4517796865062815,0.44430226524184474,0.0,0.0074774217951371815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234421678129,0.9284822427824282,0.0,0.0,0.0,0.0,0.5176119499791237,0.4823880484740845,0.853309549839845,52137,0.853309549839845,0.8855418814679624,0.8107751814417671,"[0.8687218565985452,0.8429611650485437,0.6573083778966132,0.9385441527446301,0.9034725409209118,1.0,0.971195391262602,0.902791461412151,0.7878542510121458,0.9036144578313253,0.9644970414201184]","[[20064,299,252,93,287,68,1695,17,264,57,0],[39,3473,312,1,1,29,17,11,83,154,0],[41,1069,4425,134,27,45,44,1,455,433,58],[1,1,0,1573,3,0,1,0,94,3,0],[13,0,2,62,5906,0,51,0,68,435,0],[0,0,0,0,0,316,0,0,0,0,0],[10,3,5,1,24,0,2023,15,2,0,0],[41,26,2,10,0,0,452,5498,28,33,0],[11,2,16,78,71,0,10,23,973,51,0],[0,1,0,0,4,1,2,0,0,75,0],[0,6,0,0,0,0,0,0,0,0,163]]"
main_only,0.5524655636487513,0.5524188591668959,0.0,4.67033481031705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234421678129,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.0,0.824059688896561,52137,0.824059688896561,0.8699191655309932,0.7749224082504982,"[0.8276757880152408,0.8395631067961165,0.6899881164587047,0.9116945107398569,0.8138289735352608,1.0,0.9611137782045127,0.8871921182266009,0.7578947368421053,0.9156626506024096,0.9644970414201184]","[[19116,1132,488,70,114,19,1547,26,457,127,0],[49,3459,420,0,0,11,12,0,48,121,0],[53,1156,4645,133,16,16,32,0,288,345,48],[0,1,1,1528,4,0,1,0,137,4,0],[10,1,3,66,5320,0,68,310,104,655,0],[0,0,0,0,0,316,0,0,0,0,0],[32,1,5,2,3,0,2002,34,3,1,0],[23,23,0,0,79,33,347,5403,66,116,0],[13,9,32,71,55,0,9,36,936,74,0],[0,1,0,0,4,1,1,0,0,76,0],[0,6,0,0,0,0,0,0,0,0,163]]"
aux_only,1.3383188031484212,1.3308880831559324,0.0,0.007430718448599688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9284822427824282,0.0,0.0,0.0,0.0,0.0,0.9999999999531275,0.5516427872719949,52137,0.5516427872719949,0.5657170698122371,0.4361943595180116,"[0.6944059577416003,0.24490291262135921,0.12373737373737374,0.6682577565632458,0.8188771607771149,0.9810126582278481,0.35333653384541525,0.4006568144499179,0.5975708502024292,0.4939759036144578,0.8461538461538461]","[[16038,382,88,1191,1075,53,1097,1152,1369,367,284],[89,1009,242,846,60,26,75,8,691,310,764],[118,1104,833,1995,209,25,188,1,1288,566,405],[51,52,1,1120,1,23,90,1,275,5,57],[22,0,0,119,5353,530,157,0,102,253,1],[0,0,0,0,6,310,0,0,0,0,0],[72,38,0,188,493,0,736,9,513,14,20],[2797,2,0,49,164,0,583,2440,54,1,0],[68,14,2,112,25,90,127,8,738,51,0],[0,1,1,1,19,2,4,0,14,41,0],[3,1,0,9,0,0,0,0,13,0,143]]"
aux_noise,0.4663480354339844,0.4461424545185003,0.0,0.02020558106328246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234421678129,0.9368748136020071,0.0,0.0,0.0,0.0,0.5155242829826111,0.48447571623884844,0.8526766020292691,52137,0.8526766020292691,0.8849966067462787,0.8099013202531592,"[0.8714063041219259,0.8446601941747572,0.6449792038027332,0.9331742243436754,0.9004130335016063,1.0,0.9697551608257321,0.9024630541871921,0.8,0.9036144578313253,0.9644970414201184]","[[20126,300,252,90,281,72,1637,17,264,57,0],[38,3480,295,1,1,29,20,10,90,156,0],[43,1094,4342,137,26,44,44,2,506,436,58],[1,1,0,1564,3,0,1,0,103,3,0],[13,0,1,63,5886,0,51,0,70,453,0],[0,0,0,0,0,316,0,0,0,0,0],[11,3,5,1,26,0,2020,15,2,0,0],[40,27,2,10,1,0,450,5496,30,34,0],[11,2,13,73,63,0,10,23,988,52,0],[0,1,0,0,4,1,2,0,0,75,0],[0,6,0,0,0,0,0,0,0,0,163]]"
aux_noise_low,0.4639810853517126,0.4447599633892809,0.0,0.019221121966861703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234421678129,0.9310880028390042,0.0,0.0,0.0,0.0,0.5169643962445234,0.4830356046231891,0.853136927709688,52137,0.853136927709688,0.8857710866597976,0.8105563192110078,"[0.8688517492206442,0.8441747572815534,0.6546345811051694,0.9373508353221957,0.9030136148080159,1.0,0.971195391262602,0.9026272577996716,0.7935222672064778,0.9036144578313253,0.9644970414201184]","[[20067,301,253,95,287,69,1688,18,259,59,0],[39,3478,306,2,1,29,17,11,83,154,0],[41,1073,4407,136,27,45,46,1,464,433,59],[1,1,0,1571,3,0,1,0,96,3,0],[13,0,2,62,5903,0,51,0,68,438,0],[0,0,0,0,0,316,0,0,0,0,0],[11,2,6,1,24,0,2023,14,2,0,0],[41,26,2,10,0,0,452,5497,29,33,0],[11,2,16,73,70,0,10,23,980,50,0],[0,1,0,0,4,1,2,0,0,75,0],[0,6,0,0,0,0,0,0,0,0,163]]"
aux_noise_mid,0.6383988849866865,0.44612180625249476,0.0,0.1922770790255728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234421678129,0.9367979403231437,0.0,0.0,0.0,0.0,0.5155433754923063,0.48445662416529595,0.8527149625026372,52137,0.8527149625026372,0.8849130860963134,0.8099523798394771,"[0.8710599237963284,0.845631067961165,0.6454248366013072,0.9307875894988067,0.9014838610983632,1.0,0.971675468074892,0.9022988505747126,0.7975708502024291,0.9036144578313253,0.9644970414201184]","[[20118,302,245,92,281,70,1648,17,263,60,0],[40,3484,299,1,1,29,16,11,86,153,0],[42,1088,4345,135,27,44,45,1,509,439,57],[1,1,0,1560,3,0,1,0,107,3,0],[14,0,1,66,5893,0,52,0,66,445,0],[0,0,0,0,0,316,0,0,0,0,0],[11,3,5,1,25,0,2024,13,1,0,0],[42,28,2,10,0,0,452,5495,29,32,0],[11,1,15,74,66,0,10,23,985,50,0],[0,1,0,0,4,1,2,0,0,75,0],[0,6,0,0,0,0,0,0,0,0,163]]"
aux_noise_high,1.0098233873711486,0.44993309264569503,0.0,0.5598902932738358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234421678129,0.9476880964927011,0.0,0.0,0.0,0.0,0.5128280525217854,0.4871719474444893,0.8524272589523755,52137,0.8524272589523755,0.8869369642502947,0.8093315808445215,"[0.8790266712850711,0.8512135922330097,0.6174985145573381,0.9272076372315036,0.8927642649533425,1.0,0.9663946231397024,0.9024630541871921,0.8275303643724696,0.927710843373494,0.9644970414201184]","[[20302,318,222,93,271,85,1461,16,267,61,0],[45,3507,265,2,0,29,17,11,100,144,0],[52,1134,4157,160,21,47,41,2,613,447,58],[1,1,0,1554,3,0,0,0,113,4,0],[13,0,1,66,5836,0,47,0,81,493,0],[0,0,0,0,0,316,0,0,0,0,0],[17,3,4,1,27,0,2013,14,4,0,0],[45,28,3,10,0,0,450,5496,29,29,0],[12,2,11,55,58,0,11,22,1022,42,0],[0,1,0,0,2,1,2,0,0,77,0],[0,6,0,0,0,0,0,0,0,0,163]]"
aux_downsample_2,0.6038880890554444,0.47048096198980954,0.0,0.13340712721854214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234421678129,0.8507788521804911,0.0,0.0,0.0,0.0,0.5368510899619764,0.4631489132104901,0.8387709304332815,52137,0.8387709304332815,0.8785855965899586,0.7938784776657084,"[0.8265500519570489,0.8381067961165048,0.6879084967320261,0.9200477326968973,0.9118861863240019,1.0,0.971195391262602,0.9167487684729064,0.7238866396761133,0.9036144578313253,0.9644970414201184]","[[19090,324,320,48,284,47,2608,26,294,55,0],[22,3453,353,1,1,29,22,11,62,166,0],[18,1020,4631,117,36,38,63,3,326,418,62],[3,0,0,1542,4,0,0,0,123,4,0],[10,0,3,54,5961,0,53,0,60,396,0],[0,0,0,0,0,316,0,0,0,0,0],[5,2,6,2,23,0,2023,21,1,0,0],[37,29,1,2,0,0,382,5583,20,36,0],[9,7,20,95,109,0,16,25,894,60,0],[0,1,0,0,4,0,3,0,0,75,0],[0,6,0,0,0,0,0,0,0,0,163]]"
aux_downsample_4,0.6729020726926093,0.46302869167031463,0.0,0.20987338047811663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234421678129,0.6415020228815561,0.0,0.0,0.0,0.0,0.5869548523327967,0.4130451490808087,0.8481308859351324,52137,0.8481308859351324,0.8693730937392403,0.8047329694492001,"[0.8406217526844475,0.8422330097087378,0.7403446226975638,0.934964200477327,0.9013308857273978,1.0,0.9515122419587134,0.9200328407224959,0.6121457489878542,0.8554216867469879,0.9644970414201184]","[[19415,489,513,48,188,34,1958,52,313,86,0],[24,3470,464,1,5,16,13,10,16,101,0],[31,1084,4984,139,38,27,32,3,140,195,59],[2,0,2,1567,10,0,0,0,90,5,0],[17,0,11,82,5892,0,46,39,56,394,0],[0,0,0,0,0,316,0,0,0,0,0],[20,3,12,4,23,0,1982,39,0,0,0],[34,23,5,2,27,0,313,5603,13,68,2],[9,17,55,150,136,0,15,24,756,73,0],[0,1,2,1,5,0,3,0,0,71,0],[0,6,0,0,0,0,0,0,0,0,163]]"
aux_occlusion_25,0.4693015291493756,0.4450623439556848,0.0,0.024239185195155628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234421678129,0.8950092753744017,0.0,0.0,0.0,0.0,0.525954701821965,0.47404530076516715,0.8465197460536663,52137,0.8465197460536663,0.8848661865443241,0.8029613846350827,"[0.8447350190509179,0.8589805825242719,0.6867201426024956,0.9284009546539379,0.8987303044209882,1.0,0.9678348535765723,0.90935960591133,0.7465587044534413,0.927710843373494,0.9644970414201184]","[[19510,371,358,76,243,40,2164,18,261,55,0],[26,3539,326,2,0,23,15,9,41,139,0],[27,1175,4623,106,12,44,34,1,282,382,46],[1,1,0,1556,4,0,1,0,108,5,0],[12,0,1,50,5875,0,56,1,66,476,0],[0,0,0,0,0,316,0,0,0,0,0],[9,4,6,2,23,0,2016,23,0,0,0],[36,34,4,10,0,0,416,5538,28,24,0],[11,7,25,75,88,0,13,20,922,74,0],[0,1,0,0,2,0,3,0,0,77,0],[0,6,0,0,0,0,0,0,0,0,163]]"
aux_occlusion_50,0.46837480768047196,0.45526557715264665,0.0,0.0131092307549264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234421678129,0.4794712111790874,0.0,0.0,0.0,0.0,0.626675661009141,0.373324339077173,0.8427795999002627,52137,0.8427795999002627,0.8828854417585791,0.7982752030256004,"[0.840838240387946,0.8575242718446602,0.714795008912656,0.9093078758949881,0.8614043139054612,1.0,0.9596735477676428,0.9110016420361248,0.7408906882591093,0.9518072289156626,0.9644970414201184]","[[19420,670,538,56,149,13,1714,12,410,114,0],[17,3533,411,1,0,5,9,1,34,109,0],[24,1162,4812,114,6,33,24,0,228,294,35],[1,1,0,1524,3,0,1,0,142,4,0],[11,0,3,52,5631,0,74,10,64,692,0],[0,0,0,0,0,316,0,0,0,0,0],[14,3,16,2,16,0,1999,32,1,0,0],[36,37,3,9,4,0,318,5548,55,80,0],[13,11,31,76,73,0,8,24,915,84,0],[1,1,0,0,0,0,2,0,0,79,0],[0,6,0,0,0,0,0,0,0,0,163]]"
