mode,loss,cls,budget,quality,pre_quality,soft_retention,hard_retention,target_budget,resource_ratio,expected_params_ratio,expected_macs_ratio,q_main,q_aux,pre_q_main,pre_q_aux,pre_u_main,pre_u_aux,fusion_weight_main,fusion_weight_aux,accuracy,samples,oa,aa,kappa,class_accuracy,confusion_matrix
full,0.19011371602592753,0.19011371602592753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500702085847209,0.37869266702480353,0.0,0.0,0.0,0.0,0.5304033944559738,0.469596603746458,0.9868685150535805,29395,0.9868685150535805,0.9827694723126473,0.9824363880328517,"[0.9982074263764404,0.9852411807055436,0.9786096256684492,1.0,0.9820684307453718,0.9524901703800787]","[[3898,0,6,0,1,0],[0,2737,3,0,0,38],[8,0,366,0,0,0],[0,0,0,8969,0,0],[185,0,0,0,10132,0],[0,124,21,0,0,2907]]"
main_only,0.33025829239267945,0.33025829239267945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500702085847209,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9505017860180303,29395,0.9505017860180303,0.9181188255300935,0.9337407821692705,"[0.9920614596670935,0.6749460043196545,0.9786096256684492,0.9931987958523805,0.9924396626926432,0.8774574049803407]","[[3874,0,16,4,11,0],[0,1875,131,0,0,772],[7,0,366,1,0,0],[22,0,0,8908,39,0],[77,0,0,1,10239,0],[0,355,18,1,0,2678]]"
aux_only,0.9552138645686672,0.9552138645686672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37869266702480353,0.0,0.0,0.0,0.0,0.0,1.0,0.7048817826160911,29395,0.7048817826160911,0.5221373886990429,0.6083320461235256,"[0.564404609475032,0.007919366450683946,0.0,1.0,0.6555200155083842,0.9049803407601573]","[[2204,0,0,0,65,1636],[3,22,1,2723,1,28],[34,0,0,0,5,335],[0,0,0,8969,0,0],[1703,0,0,0,6763,1851],[116,8,0,150,16,2762]]"
aux_noise,0.19800466404700892,0.19800466404700892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500702085847209,0.37720025337701507,0.0,0.0,0.0,0.0,0.5307739836663935,0.46922601750156956,0.9848613709814594,29395,0.9848613709814594,0.9817005843211487,0.9797631833084645,"[0.9984635083226633,0.9834413246940245,0.9786096256684492,1.0,0.9765435688669187,0.9531454783748362]","[[3899,0,6,0,0,0],[0,2732,3,0,0,43],[7,0,366,0,1,0],[0,0,0,8969,0,0],[242,0,0,0,10075,0],[0,122,21,0,0,2909]]"
aux_noise_low,0.19206248468171783,0.19206248468171783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500702085847209,0.378290947509838,0.0,0.0,0.0,0.0,0.5305031779804366,0.46949682200030013,0.9862561660146283,29395,0.9862561660146283,0.9823525544088754,0.9816201564961898,"[0.9982074263764404,0.984521238300936,0.9786096256684492,1.0,0.9806145197247261,0.9521625163826999]","[[3898,0,6,0,1,0],[0,2735,3,0,0,40],[8,0,366,0,0,0],[0,0,0,8969,0,0],[200,0,0,0,10117,0],[0,124,22,0,0,2906]]"
aux_noise_mid,0.1977374774782324,0.1977374774782324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500702085847209,0.37721553562875304,0.0,0.0,0.0,0.0,0.530770163585548,0.4692298367388862,0.9853036230651472,29395,0.9853036230651472,0.9820367293904403,0.9803524305437957,"[0.9984635083226633,0.9841612670986322,0.9786096256684492,1.0,0.9775128428806824,0.953473132372215]","[[3899,0,6,0,0,0],[0,2734,3,0,0,41],[7,0,366,0,1,0],[0,0,0,8969,0,0],[232,0,0,0,10085,0],[0,121,21,0,0,2910]]"
aux_noise_high,0.2199765632257593,0.2199765632257593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500702085847209,0.3731256206245685,0.0,0.0,0.0,0.0,0.5317852318033431,0.46821476927337286,0.9792141520666781,29395,0.9792141520666781,0.9791842673756336,0.9722613317233272,"[0.9984635083226633,0.9816414686825053,0.9786096256684492,1.0,0.9599689832315595,0.9564220183486238]","[[3899,0,6,0,0,0],[0,2727,4,0,0,47],[8,0,366,0,0,0],[0,0,0,8969,0,0],[413,0,0,0,9904,0],[0,113,20,0,0,2919]]"
aux_downsample_2,0.18507636404297023,0.18507636404297023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500702085847209,0.38166338262417665,0.0,0.0,0.0,0.0,0.5296647109999951,0.47033528809158914,0.9868344956625277,29395,0.9868344956625277,0.9816986525339676,0.9823835339985825,"[0.9959026888604353,0.9949604031677466,0.9786096256684492,1.0,0.9852670349907919,0.9354521625163827]","[[3889,0,7,0,9,0],[0,2764,1,0,0,13],[7,0,366,0,1,0],[0,0,0,8969,0,0],[151,0,0,1,10165,0],[0,174,21,0,2,2855]]"
aux_downsample_4,0.22231036195809348,0.22231036195809348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500702085847209,0.38027901594726826,0.0,0.0,0.0,0.0,0.5300061697131782,0.4699938290539719,0.9717639054260929,29395,0.9717639054260929,0.9725031563919844,0.9622902684294055,"[0.9787451984635083,0.9881209503239741,0.9786096256684492,0.9962091649013268,0.9523117185228264,0.9410222804718218]","[[3822,0,7,69,7,0],[0,2745,0,0,0,33],[5,0,366,0,3,0],[1,0,6,8935,27,0],[378,0,0,114,9825,0],[0,157,18,2,3,2872]]"
aux_occlusion_25,0.2217125855886849,0.2217125855886849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500702085847209,0.38655104797943696,0.0,0.0,0.0,0.0,0.5284519013214485,0.4715480988275885,0.9904065317230821,29395,0.9904065317230821,0.9843621916237617,0.9871547560700359,"[0.9964148527528809,0.968682505399568,0.9786096256684492,1.0,0.9919550256857613,0.9705111402359109]","[[3891,0,6,0,8,0],[0,2691,20,0,0,67],[6,0,366,0,2,0],[0,0,0,8969,0,0],[83,0,0,0,10234,0],[0,69,21,0,0,2962]]"
aux_occlusion_50,0.32729384328033834,0.32729384328033834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500702085847209,0.4002877481972447,0.0,0.0,0.0,0.0,0.5250402311429947,0.4749597651513585,0.9850314679367239,29395,0.9850314679367239,0.9727354309151727,0.9799460224598937,"[0.9933418693982075,0.9118070554355652,0.9786096256684492,0.9989965436503512,0.9985460889793545,0.9551114023591087]","[[3879,0,7,0,19,0],[0,2533,98,0,0,147],[3,0,366,0,5,0],[0,0,0,8960,9,0],[15,0,0,0,10302,0],[0,117,18,0,2,2915]]"
