mode,loss,cls,budget,quality,pre_quality,soft_retention,hard_retention,target_budget,resource_ratio,expected_params_ratio,expected_macs_ratio,q_main,q_aux,pre_q_main,pre_q_aux,pre_u_main,pre_u_aux,fusion_weight_main,fusion_weight_aux,accuracy,samples,oa,aa,kappa,class_accuracy,confusion_matrix
full,0.19495921621600024,0.19495921621600024,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5586123067893874,0.32466616998989783,0.0,0.0,0.0,0.0,0.5581344197002839,0.4418655807802843,0.994182684129954,29395,0.994182684129954,0.9931199104186254,0.9922088694598534,"[0.9969270166453265,0.9928005759539237,1.0,1.0,0.9938935737132888,0.9750982961992136]","[[3893,0,7,0,5,0],[0,2758,0,0,0,20],[0,0,374,0,0,0],[0,0,0,8969,0,0],[63,0,0,0,10254,0],[2,70,2,1,1,2976]]"
main_only,0.403445079619026,0.403445079619026,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5586123067893874,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9016159210750128,29395,0.9016159210750128,0.8946813623947419,0.869427524326948,"[0.9933418693982075,0.980561555075594,1.0,0.8474746348533839,0.9916642434816323,0.555045871559633]","[[3879,0,15,0,11,0],[0,2724,0,0,0,54],[0,0,374,0,0,0],[1134,0,0,7601,234,0],[86,0,0,0,10231,0],[0,1349,4,5,0,1694]]"
aux_only,0.9055981836385478,0.9055981836385478,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.0,0.32466616998989783,0.0,0.0,0.0,0.0,0.0,1.0,0.7683619663208029,29395,0.7683619663208029,0.5580357604010541,0.6880470932964143,"[0.4435339308578745,0.156227501799856,0.0,0.990299921953395,0.8495686730638752,0.9085845347313237]","[[1732,0,0,0,59,2114],[16,434,11,2298,1,18],[20,0,0,0,8,346],[0,87,0,8882,0,0],[503,0,0,0,8765,1049],[186,11,2,54,26,2773]]"
aux_noise,0.20020797996116266,0.20020797996116266,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5586123067893874,0.32323628239819013,0.0,0.0,0.0,0.0,0.558486578885867,0.4415134214578305,0.9936043544820548,29395,0.9936043544820548,0.9930136975943423,0.9914361805118997,"[0.9974391805377721,0.9928005759539237,1.0,1.0,0.9917611708830086,0.9760812581913499]","[[3895,0,6,0,4,0],[0,2758,0,0,0,20],[0,0,374,0,0,0],[0,0,0,8969,0,0],[85,0,0,0,10232,0],[2,68,1,1,1,2979]]"
aux_noise_low,0.1963547201388992,0.1963547201388992,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5586123067893874,0.32429495900641253,0.0,0.0,0.0,0.0,0.5582258258897607,0.4417741746678606,0.9940466065657425,29395,0.9940466065657425,0.9931202723411827,0.9920272949402358,"[0.9971830985915493,0.9928005759539237,1.0,1.0,0.9933120093050305,0.9754259501965924]","[[3894,0,8,0,3,0],[0,2758,0,0,0,20],[0,0,374,0,0,0],[0,0,0,8969,0,0],[69,0,0,0,10248,0],[2,69,2,1,1,2977]]"
aux_noise_mid,0.20026959001480632,0.20026959001480632,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5586123067893874,0.3232397626190085,0.0,0.0,0.0,0.0,0.5584857860274979,0.44151421442670996,0.9937744514373192,29395,0.9937744514373192,0.9929764387237324,0.9916631106579827,"[0.9966709346991037,0.9928005759539237,1.0,1.0,0.992633517495396,0.9757536041939712]","[[3892,0,7,0,6,0],[0,2758,0,0,0,20],[0,0,374,0,0,0],[0,0,0,8969,0,0],[76,0,0,0,10241,0],[2,68,2,1,1,2978]]"
aux_noise_high,0.21560964003106448,0.21560964003106448,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5586123067893874,0.3194282335749612,0.0,0.0,0.0,0.0,0.5594241704010481,0.44057582797678096,0.9920734818846743,29395,0.9920734818846743,0.9922690219613762,0.9893915474199333,"[0.9979513444302177,0.9906407487401008,1.0,1.0,0.9873025104196956,0.9777195281782438]","[[3897,0,6,0,2,0],[0,2752,0,0,0,26],[0,0,374,0,0,0],[0,0,0,8969,0,0],[131,0,0,0,10186,0],[3,64,1,0,0,2984]]"
aux_downsample_2,0.18837474602119192,0.18837474602119192,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5586123067893874,0.32897329092897676,0.0,0.0,0.0,0.0,0.5570712906281383,0.4429287101505037,0.9927538697057323,29395,0.9927538697057323,0.9904849764901554,0.9902931723235465,"[0.993854033290653,0.9964002879769619,1.0,1.0,0.995250557332558,0.9574049803407602]","[[3881,0,8,0,16,0],[0,2768,0,0,0,10],[0,0,374,0,0,0],[0,0,0,8969,0,0],[49,0,0,0,10268,0],[0,122,5,0,3,2922]]"
aux_downsample_4,0.21151442366162213,0.21151442366162213,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5586123067893874,0.3278407786224626,0.0,0.0,0.0,0.0,0.5573464361902281,0.4426535636151115,0.9833985371661847,29395,0.9833985371661847,0.982035495775159,0.9777646065507167,"[0.9807938540332907,0.9881209503239741,0.9946524064171123,0.9956516891515219,0.9814868663371135,0.9515072083879423]","[[3830,0,7,54,14,0],[0,2745,0,0,0,33],[0,1,372,0,1,0],[8,0,0,8930,31,0],[92,0,0,99,10126,0],[0,142,1,2,3,2904]]"
aux_occlusion_25,0.2667038121815948,0.2667038121815948,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5586123067893874,0.3221522646841295,0.0,0.0,0.0,0.0,0.558748243927327,0.4412517576106938,0.9947610137778534,29395,0.9947610137778534,0.9928117028321041,0.9929814346362005,"[0.9964148527528809,0.9812814974802015,0.9973262032085561,0.9997770097000781,0.9958321217408161,0.9862385321100917]","[[3891,0,5,0,9,0],[0,2726,0,0,0,52],[0,0,373,0,1,0],[2,0,0,8967,0,0],[43,0,0,0,10274,0],[0,36,3,0,3,3010]]"
