mode,loss,cls,budget,quality,pre_quality,soft_retention,hard_retention,target_budget,resource_ratio,expected_params_ratio,expected_macs_ratio,q_main,q_aux,pre_q_main,pre_q_aux,pre_u_main,pre_u_aux,fusion_weight_main,fusion_weight_aux,accuracy,samples,oa,aa,kappa,class_accuracy,confusion_matrix
full,0.134363688021039,0.12131516989130418,0.0,0.013048518124713082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454460862908,0.9095165044378517,0.0,0.0,0.0,0.0,0.5171985364888959,0.48280146284297243,0.9786018030277258,29395,0.9786018030277258,0.9639040141851822,0.9712827405181873,"[0.952112676056338,0.8455723542116631,0.9866310160427807,0.9991080388003122,1.0,1.0]","[[3718,0,45,4,138,0],[0,2349,0,0,0,429],[0,0,369,0,4,1],[0,0,0,8961,8,0],[0,0,0,0,10317,0],[0,0,0,0,0,3052]]"
main_only,0.3263410748208303,0.3244999115342164,0.0,0.001841163357376465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454460862908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8924647048817826,29395,0.8924647048817826,0.8323535137856739,0.8551400334184317,"[0.9019206145966709,0.1447084233261339,0.9919786096256684,0.9555134351655703,1.0,1.0]","[[3522,0,14,146,223,0],[0,402,0,0,0,2376],[0,0,371,0,2,1],[0,0,0,8570,399,0],[0,0,0,0,10317,0],[0,0,0,0,0,3052]]"
aux_only,0.9840938079740386,0.9728864513280583,0.0,0.011207354762467857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095165044378517,0.0,0.0,0.0,0.0,0.0,1.0,0.7133526109882633,29395,0.7133526109882633,0.504178414440989,0.6185217495332933,"[0.0,0.1033117350611951,0.09358288770053476,0.9976586018508194,0.8413298439468838,0.9891874180865007]","[[0,0,1958,0,140,1807],[0,287,0,2335,0,156],[0,0,35,0,5,334],[0,18,0,8948,0,3],[0,0,188,0,8680,1449],[0,1,9,8,15,3019]]"
aux_noise,0.14357390893858638,0.12593375089660547,0.0,0.017640157911098315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454460862908,0.9160455842958175,0.0,0.0,0.0,0.0,0.5155767501566478,0.4844232480457839,0.9785677836366728,29395,0.9785677836366728,0.9638705447422727,0.9712384525388689,"[0.9523687580025608,0.8452123830093593,0.9866310160427807,0.9991080388003122,0.9999030725986237,1.0]","[[3719,0,46,4,136,0],[0,2348,0,0,0,430],[0,0,369,0,3,2],[0,0,0,8961,8,0],[0,0,0,0,10316,1],[0,0,0,0,0,3052]]"
aux_noise_low,0.13949175623175358,0.12243334165846999,0.0,0.017058414577941015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454460862908,0.9114396562663891,0.0,0.0,0.0,0.0,0.516721014924592,0.48327898297266886,0.9787718999829903,29395,0.9787718999829903,0.9645896277852922,0.9715106261511921,"[0.952112676056338,0.8470122390208783,0.9893048128342246,0.9991080388003122,1.0,1.0]","[[3718,0,43,4,140,0],[0,2353,0,0,0,425],[0,0,370,0,3,1],[0,0,0,8961,8,0],[0,0,0,0,10317,0],[0,0,0,0,0,3052]]"
aux_noise_mid,0.30319765354626277,0.1259006869718293,0.0,0.17729696665547862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454460862908,0.9161382454150103,0.0,0.0,0.0,0.0,0.5155542046830329,0.48444579660760684,0.9786698418098316,29395,0.9786698418098316,0.9641278938420313,0.9713754137112991,"[0.9505761843790013,0.8484521238300936,0.9866310160427807,0.9991080388003122,1.0,1.0]","[[3712,0,51,4,138,0],[0,2357,0,0,0,421],[0,0,369,0,3,2],[0,0,0,8961,8,0],[0,0,0,0,10317,0],[0,0,0,0,0,3052]]"
aux_noise_high,0.6776314222847124,0.14384576051408365,0.0,0.5337856622876958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454460862908,0.9282958831120397,0.0,0.0,0.0,0.0,0.5125273254133037,0.48747267343799644,0.9768668140840279,29395,0.9768668140840279,0.960611958699455,0.9689627287939776,"[0.9467349551856594,0.8369330453563715,0.9812834224598931,0.9991080388003122,0.9996122903944945,1.0]","[[3697,0,73,4,131,0],[0,2325,0,0,0,453],[0,0,367,0,2,5],[0,0,0,8961,8,0],[1,0,0,0,10313,3],[0,0,0,0,0,3052]]"
aux_downsample_2,0.27037353189163094,0.1167603460913117,0.0,0.1536131856691515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454460862908,0.8767065643737015,0.0,0.0,0.0,0.0,0.5252875867861634,0.4747124139468551,0.9796564041503657,29395,0.9796564041503657,0.967231921087949,0.9726728760090386,"[0.926504481434059,0.8988480921526278,0.983957219251337,0.9989965436503512,1.0,0.9950851900393185]","[[3618,0,46,2,239,0],[0,2497,0,0,0,281],[0,0,368,0,4,2],[0,0,0,8960,9,0],[0,0,0,0,10317,0],[0,15,0,0,0,3037]]"
aux_downsample_4,0.5282427766935864,0.15387183371440227,0.0,0.3743709429366022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454460862908,0.8174619557602427,0.0,0.0,0.0,0.0,0.5392580143649839,0.4607419854403556,0.9765266201734989,29395,0.9765266201734989,0.9655016957156509,0.9684987973108867,"[0.9057618437900128,0.9319654427645788,0.9812834224598931,0.9986620582004683,0.9946689929242997,0.9806684141546527]","[[3537,0,114,8,242,4],[0,2589,0,0,0,189],[0,0,367,0,6,1],[0,0,0,8957,9,3],[1,0,3,3,10262,48],[0,58,0,1,0,2993]]"
aux_occlusion_25,0.14334531277506848,0.12018620710370695,0.0,0.023159106006948166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454460862908,0.8614188486245401,0.0,0.0,0.0,0.0,0.529118165446293,0.4708818346185939,0.977172988603504,29395,0.977172988603504,0.9618177635443211,0.9693476562066079,"[0.9400768245838669,0.8480921526277898,0.983957219251337,0.9991080388003122,1.0,0.9996723460026212]","[[3671,0,39,4,191,0],[0,2356,0,0,0,422],[0,0,368,0,5,1],[0,0,0,8961,8,0],[0,0,0,0,10317,0],[0,1,0,0,0,3051]]"
aux_occlusion_50,0.20400237488156578,0.16311053021992017,0.0,0.04089184533383271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454460862908,0.5948186951341384,0.0,0.0,0.0,0.0,0.5940414769549337,0.4059585225715952,0.9600272155128423,29395,0.9600272155128423,0.9364374000576342,0.9462401127124669,"[0.9108834827144686,0.7253419726421886,0.9893048128342246,0.9934217861523024,1.0,0.9996723460026212]","[[3557,0,25,9,314,0],[0,2015,0,0,0,763],[0,0,370,0,3,1],[0,0,0,8910,59,0],[0,0,0,0,10317,0],[0,1,0,0,0,3051]]"
