mode,loss,cls,budget,quality,pre_quality,soft_retention,hard_retention,target_budget,resource_ratio,expected_params_ratio,expected_macs_ratio,q_main,q_aux,pre_q_main,pre_q_aux,pre_u_main,pre_u_aux,fusion_weight_main,fusion_weight_aux,accuracy,samples,oa,aa,kappa,class_accuracy,confusion_matrix
full,1.3602988240223675,1.3602988240223675,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5584568065047001,0.4878759973652206,0.0,0.0,0.0,0.0,0.5176360822368751,0.48236391625146435,0.9041673754039803,29395,0.9041673754039803,0.7442079237795641,0.8718561037793643,"[0.9052496798975672,0.751979841612671,0.0,0.8734530047942914,0.9932150819036542,0.9413499344692006]","[[3535,0,0,0,370,0],[111,2089,0,0,2,576],[360,0,0,0,14,0],[1072,0,0,7834,63,0],[70,0,0,0,10247,0],[138,14,3,0,24,2873]]"
main_only,1.2067042957988194,1.2067042957988194,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5584568065047001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8600442252083688,29395,0.8600442252083688,0.6665003807008693,0.8122498322710365,"[0.8727272727272727,0.279337652987761,0.0374331550802139,0.8950830638867209,0.9927304448967723,0.9216906946264745]","[[3408,0,0,0,497,0],[0,776,0,0,0,2002],[336,0,14,0,24,0],[843,0,0,8028,98,0],[75,0,0,0,10242,0],[58,166,0,0,15,2813]]"
aux_only,1.6346688256496515,1.6346688256496515,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.0,0.4878759973652206,0.0,0.0,0.0,0.0,0.0,1.0,0.588059193740432,29395,0.588059193740432,0.3916596855960785,0.4612607938796775,"[0.9306017925736235,0.0,0.0,0.7355335042925633,0.683822816710284,0.0]","[[3634,0,0,0,271,0],[1387,0,0,1167,224,0],[369,0,0,0,5,0],[2319,0,0,6597,53,0],[3262,0,0,0,7055,0],[2977,0,0,0,75,0]]"
aux_noise,1.3611368294860418,1.3611368294860418,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5584568065047001,0.4878528518475203,0.0,0.0,0.0,0.0,0.5176418617948177,0.4823581384839929,0.9046436468787209,29395,0.9046436468787209,0.744870659679132,0.8725056334204986,"[0.9072983354673495,0.7523398128149748,0.0,0.8746794514438622,0.9922458078898905,0.9426605504587156]","[[3543,0,0,0,362,0],[111,2090,0,0,1,576],[359,0,0,0,15,0],[1061,0,0,7845,63,0],[80,0,0,0,10237,0],[134,14,3,0,24,2877]]"
aux_noise_low,1.3605115233929228,1.3605115233929228,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5584568065047001,0.48787032965900823,0.0,0.0,0.0,0.0,0.5176374982238363,0.48236250091337146,0.9041333560129273,29395,0.9041333560129273,0.7444657104532334,0.8718206814891734,"[0.9055057618437901,0.7534197264218863,0.0,0.8732300144943695,0.992633517495396,0.9420052424639581]","[[3536,0,0,0,369,0],[111,2093,0,0,2,572],[360,0,0,0,14,0],[1074,0,0,7832,63,0],[76,0,0,0,10241,0],[138,14,1,0,24,2875]]"
aux_noise_mid,1.36110321276649,1.36110321276649,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5584568065047001,0.48785468204570154,0.0,0.0,0.0,0.0,0.5176414067494989,0.48235859223157496,0.9047797244429324,29395,0.9047797244429324,0.7449642609959853,0.8726864230035652,"[0.9080665813060179,0.7523398128149748,0.0,0.8741219756940574,0.992924299699525,0.9423328964613368]","[[3546,0,0,0,359,0],[110,2090,0,0,2,576],[360,0,0,0,14,0],[1066,0,0,7840,63,0],[73,0,0,0,10244,0],[137,13,2,0,24,2876]]"
aux_noise_high,1.3632550376839208,1.3632550376839208,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5584568065047001,0.4877404451867029,0.0,0.0,0.0,0.0,0.517669924667324,0.48233007258816546,0.9060724613029427,29395,0.9060724613029427,0.7469713990486541,0.8744832936174955,"[0.9180537772087067,0.7526997840172787,0.0,0.8744564611439403,0.9916642434816323,0.944954128440367]","[[3585,0,0,0,320,0],[110,2091,0,0,1,576],[362,0,0,0,12,0],[1063,0,0,7843,63,0],[86,0,0,0,10231,0],[132,14,0,0,22,2884]]"
aux_downsample_2,1.3596586555217192,1.3596586555217192,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5584568065047001,0.4879460892368689,0.0,0.0,0.0,0.0,0.5176185755892704,0.48238142246412447,0.9020581731587004,29395,0.9020581731587004,0.7425263387551025,0.8689691501254811,"[0.8891165172855313,0.7678185745140389,0.0,0.87100011149515,0.993408936706407,0.9338138925294889]","[[3472,0,0,0,433,0],[115,2133,0,0,2,528],[358,0,0,0,16,0],[1094,0,0,7812,63,0],[68,0,0,0,10249,0],[147,26,3,0,26,2850]]"
aux_downsample_4,1.3594290125874926,1.3594290125874926,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5584568065047001,0.48755793058663366,0.0,0.0,0.0,0.0,0.5177154708606164,0.48228452805557065,0.8851165164143562,29395,0.8851165164143562,0.7384920801566999,0.8469659489178477,"[0.8806658130601792,0.8286537077033838,0.0,0.8081168469171591,0.9895318406513521,0.9239842726081258]","[[3439,0,0,0,466,0],[86,2302,0,0,3,387],[361,0,0,0,13,0],[1655,0,0,7248,66,0],[108,0,0,0,10209,0],[114,63,1,0,54,2820]]"
aux_occlusion_25,1.3764509909208544,1.3764509909208544,3.4141578453272814e-12,0.0,0.0,0.0,0.0,1.0,0.999998152256012,0.9999982118606567,0.999998152256012,0.5584568065047001,0.49002038908260254,0.0,0.0,0.0,0.0,0.51710081623614,0.48289918408829413,0.8044905596189829,29395,0.8044905596189829,0.6831513142087191,0.7435388465734314,"[0.8686299615877081,0.7296616270698344,0.0,0.5687367599509421,0.9954444121353107,0.936435124508519]","[[3392,0,0,0,513,0],[118,2027,0,0,2,631],[355,0,0,0,19,0],[3789,0,0,5101,79,0],[47,0,0,0,10270,0],[146,8,3,0,37,2858]]"
